genus,prop_endemic,species_number,new_caledonia
Campynema,1,1,FALSE
Cardwellia,1,1,FALSE
Carinavalva,1,1,FALSE
Carmichaelia,1,1,FALSE
Carnarvonia,1,1,FALSE
Carpentaria,1,1,FALSE
Carronia,1,3,FALSE
Caryota,1,1,FALSE
Cassia,1,4,TRUE
Cassinia,1,46,FALSE
Castanospora,1,1,FALSE
Catacolea,1,1,FALSE
Catalepidia,1,1,FALSE
Caustis,1,7,FALSE
Celmisia,1,8,FALSE
Cenarrhenes,1,1,FALSE
Centratherum,1,1,FALSE
Centropappus,1,1,FALSE
Cephalaralia,1,1,FALSE
Cephalipterum,1,1,FALSE
Cephalosorus,1,1,FALSE
Cephalotus,1,1,FALSE
Ceratogyne,1,1,FALSE
Chaetanthus,1,3,FALSE
Chamaeraphis,1,1,FALSE
Chamaescilla,1,5,FALSE
Chamaexeros,1,4,FALSE
Chamelaucium,1,11,FALSE
Cheilocostus,1,1,FALSE
Cheiranthera,1,10,FALSE
Chenopodium,1,9,FALSE
Cheyniana,1,2,FALSE
Chiloschista,1,1,FALSE
Chingia,1,1,FALSE
Chionochloa,1,2,FALSE
Chlaenosciadium,1,1,FALSE
Chloanthes,1,4,FALSE
Chondropyxis,1,1,FALSE
Chordifex,1,20,FALSE
Choretrum,1,7,FALSE
Chorilaena,1,1,FALSE
Chorizema,1,25,FALSE
Chrysitrix,1,1,FALSE
Chrysocephalum,1,9,FALSE
Chthonocephalus,1,7,FALSE
Citronella,1,2,TRUE
Citrus,1,6,TRUE
Clausospicula,1,1,FALSE
Clematicissus,1,2,FALSE
Clitoria,1,1,FALSE
Coatesia,1,1,FALSE
Codariocalyx,1,1,FALSE
Codonocarpus,1,3,FALSE
Coix,1,1,FALSE
Coleanthera,1,2,FALSE
Coleocarya,1,1,FALSE
Coleocoma,1,1,FALSE
Colysis,1,1,FALSE
Comesperma,1,33,FALSE
Conospermum,1,52,FALSE
Conostephium,1,12,FALSE
Conostylis,1,45,FALSE
Conothamnus,1,3,FALSE
Convolvulus,1,11,FALSE
Cooktownia,1,1,FALSE
Coopernookia,1,6,FALSE
Corokia,1,2,FALSE
Coronidium,1,21,FALSE
Correa,1,11,FALSE
Corsia,1,1,FALSE
Corynanthera,1,1,FALSE
Corynotheca,1,6,FALSE
Cosmelia,1,1,FALSE
Cossinia,1,1,TRUE
Craspedia,1,19,FALSE
Cratystylis,1,4,FALSE
Cremnothamnus,1,1,FALSE
Crenidium,1,1,FALSE
Cressa,1,1,FALSE
Crispiloba,1,1,FALSE
Cristonia,1,2,FALSE
Croninia,1,1,FALSE
Crosslandia,1,1,FALSE
Crowea,1,3,FALSE
Cryptandra,1,56,FALSE
Ctenopteris,1,1,FALSE
Cuphonotus,1,2,FALSE
Curculigo,1,1,TRUE
Cuttsia,1,1,FALSE
Cyanicula,1,10,FALSE
Cyanostegia,1,5,FALSE
Cyathochaeta,1,6,FALSE
Cyathodes,1,3,FALSE
Cyathostemon,1,6,FALSE
Cymbidium,1,3,FALSE
Cymbonotus,1,3,FALSE
Cynodon,1,4,TRUE
Cyphanthera,1,9,FALSE
Cypselocarpus,1,1,FALSE
Cyrtandra,1,1,TRUE
Cyrtostylis,1,4,FALSE
Cytogonidium,1,1,FALSE
Dactyliophora,1,1,FALSE
Dactyloctenium,1,2,FALSE
Dallwatsonia,1,1,FALSE
Damasonium,1,1,FALSE
Dampiera,1,68,FALSE
Dansiea,1,2,FALSE
Daphnandra,1,6,FALSE
Darlingia,1,2,FALSE
Darwinia,1,51,FALSE
Dasymalla,1,5,FALSE
Dasypogon,1,3,FALSE
Davidsonia,1,3,FALSE
Daviesia,1,131,FALSE
Debregeasia,1,1,FALSE
Decaschistia,1,3,FALSE
Decazesia,1,1,FALSE
Delarbrea,1,1,TRUE
Demorchis,1,2,FALSE
Dendroconche,1,1,FALSE
Denhamia,1,13,TRUE
Dennstaedtia,1,1,FALSE
Desmocladus,1,23,FALSE
Desmodiopsis,1,1,FALSE
Desmos,1,3,FALSE
Diaspasis,1,1,FALSE
Dicarpidium,1,1,FALSE
Dichopogon,1,3,FALSE
Dichosciadium,1,1,FALSE
Dichromochlamys,1,1,FALSE
Dicksonia,1,3,TRUE
Dicladanthera,1,2,FALSE
Dicrastylis,1,31,FALSE
Didymanthus,1,1,FALSE
Dielitzia,1,1,FALSE
Dielsia,1,1,FALSE
Dielsiodoxa,1,5,FALSE
Dienia,1,6,FALSE
Dietes,1,1,FALSE
Dillwynia,1,29,FALSE
Dimocarpus,1,1,FALSE
Dimorphocoma,1,1,FALSE
Dinghoua,1,1,FALSE
Dinosperma,1,4,FALSE
Diocirea,1,4,FALSE
Diodontium,1,1,FALSE
Diplarrena,1,2,FALSE
Diplaspis,1,3,FALSE
Diplatia,1,3,FALSE
Diplocaulobium,1,1,FALSE
Diplolaena,1,15,FALSE
Diplopeltis,1,5,FALSE
Dipteracanthus,1,3,FALSE
Discaria,1,2,FALSE
Diselma,1,1,FALSE
Disphyma,1,1,FALSE
Dissiliaria,1,5,FALSE
Dissocarpus,1,4,FALSE
Distichlis,1,1,FALSE
Dithyrostegia,1,2,FALSE
Diuris,1,99,FALSE
Dockrillia,1,20,FALSE
Doryanthes,1,2,FALSE
Doryphora,1,2,FALSE
Drabastrum,1,1,FALSE
Dracophyllum,1,7,TRUE
Drakaea,1,10,FALSE
Drummondita,1,10,FALSE
Dryadodaphne,1,1,FALSE
Drymoanthus,1,1,TRUE
Drymophila,1,2,FALSE
Dryopoa,1,1,FALSE
Dubouzetia,1,2,TRUE
Duma,1,3,FALSE
Duperreya,1,3,FALSE
Durringtonia,1,1,FALSE
Ecdeiocolea,1,2,FALSE
Echinostephia,1,1,FALSE
Eidothea,1,2,FALSE
Elachanthus,1,2,FALSE
Elacholoma,1,2,FALSE
Elattostachys,1,5,TRUE
Elythranthera,1,2,FALSE
Embadium,1,3,FALSE
Emblingia,1,1,FALSE
Enekbatus,1,10,FALSE
Enydra,1,1,FALSE
Epacris,1,53,FALSE
Epiblema,1,1,FALSE
Epitriche,1,1,FALSE
Eremaea,1,14,FALSE
Eremophea,1,2,FALSE
Eremophila,1,234,FALSE
Eremosyne,1,1,FALSE
Eria,1,5,TRUE
Erichsenia,1,1,FALSE
Ericksonella,1,1,FALSE
Ericomyrtus,1,4,FALSE
Erigeron,1,1,FALSE
Eriochilus,1,11,FALSE
Eriochiton,1,1,FALSE
Eriochlamys,1,4,FALSE
Eriostemon,1,2,FALSE
Erodiophyllum,1,2,FALSE
Erodium,1,5,FALSE
Erymophyllum,1,5,FALSE
Erythrophleum,1,1,FALSE
Erythrorchis,1,1,FALSE
Erythroxylum,1,2,TRUE
Eschenbachia,1,2,FALSE
Ethuliopsis,1,1,FALSE
Etlingera,1,1,FALSE
Euchilopsis,1,1,FALSE
Eucosia,1,1,FALSE
Eucryphia,1,5,FALSE
Eumachia,1,1,TRUE
Euodia,1,2,TRUE
Euphrasia,1,20,FALSE
Eurychorda,1,1,FALSE
Euryomyrtus,1,7,FALSE
Eutaxia,1,22,FALSE
Evandra,1,2,FALSE
Everistia,1,1,FALSE
Ewartia,1,4,FALSE
Exocarya,1,1,FALSE
Falcataria,1,1,FALSE
Feldstonia,1,1,FALSE
Fieldia,1,1,FALSE
Fitzwillia,1,1,FALSE
Flacourtia,1,1,FALSE
Flickingeria,1,3,FALSE
Floydia,1,1,FALSE
Fontainea,1,6,TRUE
Forstera,1,1,FALSE
Franciscodendron,1,1,FALSE
Frankenia,1,44,FALSE
Franklandia,1,2,FALSE
Galbulimima,1,1,FALSE
Gardenia,1,19,TRUE
Gastrolobium,1,110,FALSE
Geleznowia,1,1,FALSE
Genoplesium,1,1,TRUE
Gentiana,1,4,FALSE
Gentianella,1,14,FALSE
Geococcus,1,1,FALSE
Georgeantha,1,1,FALSE
Geosiris,1,1,FALSE
Gilberta,1,1,FALSE
Gilesia,1,1,FALSE
Gilruthia,1,1,FALSE
Gingidia,1,3,FALSE
Glischrocaryon,1,5,FALSE
Glossodia,1,2,FALSE
Glyceria,1,3,FALSE
Glycocystis,1,1,FALSE
Glycyrrhiza,1,1,FALSE
Gnaphalium,1,2,FALSE
Gnephosis,1,16,FALSE
Gomphrena,1,32,FALSE
Goniothalamus,1,1,TRUE
Goodia,1,6,FALSE
Gossypium,1,17,TRUE
Grammitis,1,4,TRUE
Grammosolen,1,2,FALSE
Granitites,1,1,FALSE
Grastidium,1,5,FALSE
Gratwickia,1,1,FALSE
Guichenotia,1,17,FALSE
Guilfoylia,1,1,FALSE
Gunnera,1,1,FALSE
Gunnessia,1,1,FALSE
Gunniopsis,1,14,FALSE
Gymnoschoenus,1,2,FALSE
Gymnostachys,1,1,FALSE
Gymnostoma,1,1,TRUE
Gynatrix,1,2,FALSE
Gynura,1,1,FALSE
Gyrostemon,1,13,FALSE
Hackelia,1,2,FALSE
Haeckeria,1,2,FALSE
Haegiela,1,1,FALSE
Hakea,1,151,FALSE
Haloragis,1,23,TRUE
Haloragodendron,1,6,FALSE
Hannafordia,1,3,FALSE
Haptotrichion,1,2,FALSE
Harmogia,1,1,FALSE
Harmsiodoxa,1,3,FALSE
Harnieria,1,2,FALSE
Hedraianthera,1,1,FALSE
Hedycarya,1,2,TRUE
Hedyscepe,1,1,FALSE
Helichrysum,1,4,TRUE
Helipterum,1,1,FALSE
Helmholtzia,1,2,FALSE
Hemarthria,1,1,FALSE
Hemiandra,1,9,FALSE
Hemichroa,1,1,FALSE
Hemigenia,1,53,FALSE
Hemiphora,1,5,FALSE
Hemmantia,1,1,FALSE
Hensmania,1,3,FALSE
Heterachne,1,3,FALSE
Heterozostera,1,3,FALSE
Hexaspora,1,1,FALSE
Hibbertia,0.9927797833935018,277,TRUE
Hicksbeachia,1,2,FALSE
Hildegardia,1,1,FALSE
Hippocratea,1,1,FALSE
Hodgkinsonia,1,1,FALSE
Hodgsoniola,1,1,FALSE
Holcolemma,1,1,FALSE
Hollandaea,1,4,FALSE
Homalium,1,3,TRUE
Homalocalyx,1,11,FALSE
Homalosciadium,1,1,FALSE
Homalospermum,1,1,FALSE
Homopholis,1,1,FALSE
Homoranthus,1,31,FALSE
Hookerochloa,1,2,FALSE
Hopkinsia,1,2,FALSE
Horsfieldia,1,1,FALSE
Hovea,1,38,FALSE
Howea,1,2,FALSE
Howittia,1,1,FALSE
Hullsia,1,1,FALSE
Huxleya,1,1,FALSE
Hyalochlamys,1,1,FALSE
Hyalosperma,1,9,FALSE
Hybanthus,1,8,TRUE
Hygrochloa,1,2,FALSE
Hygrophila,1,1,FALSE
Hylandia,1,1,FALSE
Hymenachne,1,1,FALSE
Hypocalymma,1,26,FALSE
Hypolaena,1,8,FALSE
Hypsophila,1,2,FALSE
Hysterobaeckea,1,11,FALSE
Idiospermum,1,1,FALSE
Illigera,1,1,FALSE
Indagator,1,1,FALSE
Iotasperma,1,2,FALSE
Irenepharsus,1,3,FALSE
Irvingbaileya,1,1,FALSE
Iseilema,1,12,FALSE
Isoetopsis,1,1,FALSE
Isoglossa,1,1,FALSE
Isophysis,1,1,FALSE
Isopogon,1,38,FALSE
Isotropis,1,14,FALSE
Ixiochlamys,1,4,FALSE
Ixiolaena,1,1,FALSE
Ixodia,1,2,FALSE
Jacksonia,1,74,FALSE
Jedda,1,1,FALSE
Johnsonia,1,5,FALSE
Kalanchoe,1,1,FALSE
Kardomia,1,6,FALSE
Karrabina,1,2,FALSE
Kelita,1,1,FALSE
Kennedia,1,13,FALSE
Kingia,1,1,FALSE
Kippistia,1,1,FALSE
Koeleria,1,1,FALSE
Kohautia,1,1,FALSE
Kuntheria,1,1,FALSE
Labichea,1,14,FALSE
Laccospadix,1,1,FALSE
Lachnostachys,1,6,FALSE
Lagarostrobos,1,1,FALSE
Lagunaria,1,2,FALSE
Lamarchea,1,2,FALSE
Lambertia,1,10,FALSE
Lamprolobium,1,2,FALSE
Landoltia,1,1,FALSE
Larsenaikia,1,3,FALSE
Lasiopetalum,1,49,FALSE
Lasjia,1,3,FALSE
Latrobea,1,8,FALSE
Lawrencella,1,2,FALSE
Lawrencia,1,12,FALSE
Laxmannia,1,13,FALSE
Legnephora,1,1,FALSE
Leiocarpa,1,10,FALSE
Leionema,1,25,FALSE
Lemooria,1,1,FALSE
Lenbrassia,1,1,FALSE
Lenwebbia,1,2,FALSE
Lepiderema,1,6,FALSE
Lepidobolus,1,9,FALSE
Lepidorrhachis,1,1,FALSE
Lepidozamia,1,2,FALSE
Lepistemon,1,1,FALSE
Leporella,1,1,FALSE
Leptocarpus,1,15,FALSE
Leptoceras,1,1,FALSE
Leptochloa,1,1,TRUE
Leptomeria,1,17,FALSE
Leptopteris,1,2,TRUE
Leptorhynchos,1,10,FALSE
Leptosema,1,13,FALSE
Leptostigma,1,2,FALSE
Lepyrodia,1,22,FALSE
Lethedon,1,1,TRUE
Leucochrysum,1,6,FALSE
Leucophyta,1,1,FALSE
Levenhookia,1,11,FALSE
Lilaeopsis,1,2,FALSE
Limonium,1,2,TRUE
Lindernia,1,42,TRUE
Linospadix,1,5,FALSE
Linum,1,2,FALSE
Lissanthe,1,9,FALSE
Logania,1,22,FALSE
Lomatia,1,9,FALSE
Lophopetalum,1,1,FALSE
Lordhowea,1,1,FALSE
Loxocarya,1,5,FALSE
Luisia,1,2,TRUE
Lycium,1,1,FALSE
Lycopus,1,1,FALSE
Lyginia,1,3,FALSE
Lyperanthus,1,2,FALSE
Lysiana,1,8,FALSE
Lysicarpus,1,1,FALSE
Lysinema,1,6,FALSE
Lysiosepalum,1,5,FALSE
Macarthuria,1,9,FALSE
Macgregoria,1,1,FALSE
Macropidia,1,1,FALSE
Macropteranthes,1,5,FALSE
Macrozamia,1,41,FALSE
Malaccotristicha,1,1,FALSE
Malacocera,1,4,FALSE
Malleostemon,1,14,FALSE
Malva,1,2,FALSE
Malvastrum,1,1,FALSE
Marianthus,1,15,FALSE
Maundia,1,1,FALSE
Medinilla,1,1,FALSE
Megahertzia,1,1,FALSE
Meionectes,1,2,FALSE
Melanostachya,1,1,FALSE
Melichrus,1,4,FALSE
Menkea,1,6,FALSE
Mentha,1,6,FALSE
Meryta,1,2,TRUE
Mesomelaena,1,5,FALSE
Mesua,1,1,FALSE
Metrosideros,1,2,TRUE
Micraira,1,15,FALSE
Micrantheum,1,4,FALSE
Microcachrys,1,1,FALSE
Microcorys,1,20,FALSE
Microcybe,1,4,FALSE
Microlepidium,1,2,FALSE
Micromyrtus,1,50,FALSE
Milligania,1,5,FALSE
Millotia,1,16,FALSE
Minuria,1,12,FALSE
Mirbelia,1,29,FALSE
Mitrantia,1,1,FALSE
Mitrella,1,1,FALSE
Mobilabium,1,1,FALSE
