genus,prop_endemic,species_number,new_caledonia
Roycea,1,3,FALSE
Rumicastrum,1,1,FALSE
Rutidosis,1,9,FALSE
Ryparosa,1,1,FALSE
Ryticaryum,1,1,FALSE
Sagina,1,2,FALSE
Samadera,1,2,FALSE
Sambucus,1,2,FALSE
Sankowskya,1,1,FALSE
Sannantha,1,12,TRUE
Sarcopteryx,1,5,FALSE
Sarcotoechia,1,6,FALSE
Sarcozona,1,2,FALSE
Saurauia,1,1,FALSE
Saxipoa,1,1,FALSE
Scambopus,1,1,FALSE
Schenkia,1,2,TRUE
Schistocarpaea,1,1,FALSE
Schistotylus,1,1,FALSE
Schizacme,1,2,FALSE
Schizomeria,1,2,FALSE
Schoenia,1,5,FALSE
Schoenolaena,1,1,FALSE
Scholtzia,1,13,FALSE
Scleroblitum,1,1,FALSE
Scleroglossum,1,1,TRUE
Scolopia,1,1,FALSE
Scutellaria,1,2,FALSE
Sedopsis,1,2,FALSE
Selliera,1,1,FALSE
Selliguea,1,1,TRUE
Seorsus,1,2,FALSE
Serichonus,1,1,FALSE
Seringia,1,18,FALSE
Serjania,1,1,FALSE
Sersalisia,1,3,FALSE
Shonia,1,4,FALSE
Siegfriedia,1,1,FALSE
Siloxerus,1,4,FALSE
Siphonodon,1,3,FALSE
Sloanea,1,4,TRUE
Solenogyne,1,3,FALSE
Solori,1,2,FALSE
Sondottia,1,2,FALSE
Sowerbaea,1,5,FALSE
Spartochloa,1,1,FALSE
Spathia,1,1,FALSE
Sphaerantia,1,2,FALSE
Sphaerolobium,1,22,FALSE
Sphalmium,1,1,FALSE
Sphenotoma,1,6,FALSE
Spiculaea,1,1,FALSE
Spiraeanthemum,1,1,TRUE
Spirogardnera,1,1,FALSE
Sporadanthus,1,6,FALSE
Spyridium,1,44,FALSE
Stachystemon,1,9,FALSE
Stawellia,1,2,FALSE
Stenanthemum,1,29,FALSE
Stenanthera,1,3,FALSE
Stenopetalum,1,12,FALSE
Stenostegia,1,1,FALSE
Stigmatodactylus,1,2,FALSE
Stirlingia,1,7,FALSE
Stockwellia,1,1,FALSE
Stonesiella,1,1,FALSE
Storckiella,1,1,TRUE
Strangea,1,3,FALSE
Streptoglossa,1,8,FALSE
Streptothamnus,1,1,FALSE
Stuartina,1,2,FALSE
Stylobasium,1,2,FALSE
Stypandra,1,2,FALSE
Styphelia,1,20,TRUE
Suaeda,1,2,TRUE
Surreya,1,2,FALSE
Swainsona,1,85,FALSE
Sylvipoa,1,1,FALSE
Symonanthus,1,2,FALSE
Symphionema,1,2,FALSE
Synaphea,1,56,FALSE
Synaptantha,1,2,FALSE
Tapeinosperma,1,3,TRUE
Tapheocarpa,1,1,FALSE
Taplinia,1,1,FALSE
Taraxacum,1,2,FALSE
Taraxis,1,1,FALSE
Taxandria,1,11,FALSE
Tecomanthe,1,2,FALSE
Telopea,1,5,FALSE
Templetonia,1,13,FALSE
Teratophyllum,1,1,TRUE
Tersonia,1,1,FALSE
Tetracarpaea,1,1,FALSE
Tetramolopium,1,1,FALSE
Tetrapora,1,4,FALSE
Tetrardisia,1,1,FALSE
Tetrarrhena,1,6,FALSE
Tetrastigma,1,5,FALSE
Tetratheca,1,53,FALSE
Thaleropia,1,1,FALSE
Thedachloa,1,1,FALSE
Thelepogon,1,1,FALSE
Thelionema,1,3,FALSE
Thesium,1,1,FALSE
Thespidium,1,1,FALSE
Thinicola,1,1,FALSE
Thiseltonia,1,1,FALSE
Thomasia,1,29,FALSE
Thoracostachyum,1,1,FALSE
Threlkeldia,1,2,FALSE
Thryptomene,1,47,FALSE
Thunbergia,1,1,FALSE
Thynninorchis,1,2,FALSE
Thyridolepis,1,3,FALSE
Tietkensia,1,1,FALSE
Tiliacora,1,1,FALSE
Tinospora,1,3,TRUE
Townsonia,1,1,FALSE
Trachoma,1,3,TRUE
Trachystylis,1,1,FALSE
Tragia,1,3,FALSE
Tremandra,1,2,FALSE
Tremulina,1,2,FALSE
Trianthema,1,12,FALSE
Tribonanthes,1,6,FALSE
Tribulopis,1,6,FALSE
Trichanthodium,1,4,FALSE
Trichocline,1,1,FALSE
Trichoglottis,1,1,FALSE
Trigastrotheca,1,1,TRUE
Trigonella,1,1,FALSE
Trigonostemon,1,1,TRUE
Trihaloragis,1,1,FALSE
Trimenia,1,1,TRUE
Triodia,1,79,FALSE
Trioncinia,1,2,FALSE
Tripladenia,1,1,FALSE
Triplarina,1,7,FALSE
Tripterococcus,1,1,FALSE
Triptilodiscus,1,1,FALSE
Tristania,1,1,FALSE
Tristaniopsis,1,3,TRUE
Trithuria,1,10,FALSE
Triunia,1,4,FALSE
Trymalium,1,13,FALSE
Tyrbastes,1,1,FALSE
Ungeria,1,1,FALSE
Uranthoecium,1,1,FALSE
Urodon,1,2,FALSE
Uromyrtus,1,4,TRUE
Uvedalia,1,2,FALSE
Vachellia,1,9,FALSE
Van-royena,1,1,FALSE
Ventilago,1,3,TRUE
Verreauxia,1,3,FALSE
Verticordia,1,101,FALSE
Vesselowskya,1,2,FALSE
Viminaria,1,1,FALSE
Vitis,1,1,FALSE
Vittadinia,1,28,TRUE
Waitzia,1,5,FALSE
Walteranthus,1,1,FALSE
Walwhalleya,1,4,FALSE
Websteria,1,1,FALSE
Wendlandia,1,5,FALSE
Westringia,1,31,FALSE
Whyanbeelia,1,1,FALSE
Winifredia,1,1,FALSE
Wittsteinia,1,1,FALSE
Wollemia,1,1,FALSE
Woollsia,1,1,FALSE
Wurmbea,1,28,FALSE
Xanthorrhoea,1,28,FALSE
Xanthosia,1,20,FALSE
Xerochloa,1,3,FALSE
Xerolirion,1,1,FALSE
Xerothamnella,1,2,FALSE
Xylomelum,1,6,FALSE
Xylopia,1,2,TRUE
Xylosma,1,4,TRUE
Yakirra,1,6,FALSE
Zaleya,1,1,FALSE
Zealandia,1,1,TRUE
Zeuxine,1,3,TRUE
Zieria,1,59,TRUE
Zygochloa,1,1,FALSE
