genus,plant_growth_form,dispersal_appendage,dispersal_syndrome,seed_dry_mass
Echinostephia,climber_herbaceous,NA,endozoochory,NA
Eidothea,tree,NA,zoochory,11600
Elaeagnus,shrub tree,NA,endozoochory,150
Elatostema,herb subshrub,NA,NA,NA
Elattostachys,tree,fleshy_reward,NA,82
Endiandra,tree,NA,zoochory,9834.583333333334
Wilkiea,tree,NA,zoochory,169.48000000000002
Entada,climber_woody,NA,hydrochory,14798.88975
Epilobium,herb,plumose,anemochory,0.1039781
Erythrophleum,tree,NA,barochory,472.3774
Euonymus,tree,aril,NA,NA
Dinghoua,tree,aril,NA,NA
Eupomatia,tree,NA,zoochory,9.91528
Euroschinus,tree,NA,zoochory,15.002
Eustrephus,climber_woody,aril,endozoochory,22.063871428571428
Exocarpos,tree,none,zoochory,43.484985631818184
Fatoua,herb subshrub,NA,NA,NA
Ficus,tree,NA,zoochory,1.7764978487951808
Meiogyne,tree,NA,NA,143.4010152
Floydia,tree,NA,NA,NA
Franklandia,shrub,NA,NA,NA
Galbulimima,tree,NA,NA,NA
Ganophyllum,tree,NA,NA,79.832
Garuga,tree,NA,NA,NA
Geitonoplesium,climber_woody,NA,endozoochory,11.75813894
Bleasdalea,tree,NA,NA,NA
Glischrocaryon,subshrub,NA,zoochory,3.84992
Globba,herb,NA,NA,NA
Gomphandra,tree,NA,endozoochory,830
Goniothalamus,tree,NA,NA,640
Gonocarpus,tree,none,zoochory,0.464651325
Trihaloragis,herb shrub subshrub,NA,NA,NA
Goodenia,subshrub,wings,zoochory,1.4971594591304347
Grevillea,tree,wings,zoochory,31.631732384210526
Guioa,tree,fleshy_reward,endozoochory,36.23716666666667
Gunnera,herb,none,NA,3.5328
Gymnostoma,tree,NA,NA,3.63
Gyrocarpus,tree,NA,NA,360.5110922
Haemodorum,herb,wings,zoochory,5.104086578947369
Hakea,tree,wings,barochory,27.774795781722933
Haloragis,subshrub,none,zoochory,3.541076
Meionectes,herb,NA,NA,NA
Haloragodendron,tree,floral_parts,anemochory,2.7585
Hanguana,herb,NA,NA,17
Polyalthia,tree,NA,NA,NA
Harpullia,tree,fleshy_reward,endozoochory,380.635
Harrisonia,tree,NA,NA,NA
Hedraianthera,tree,fleshy_reward,NA,NA
Hedycarya,tree,NA,zoochory,24.89168
Helicia,tree,NA,endozoochory,23
Helmholtzia,herb,NA,NA,0.32180000000000003
Hemmantia,tree,NA,NA,NA
Hensmania,herb,NA,NA,0.66
Herpolirion,herb,aril,barochory,1.5591875
Hexaspora,tree,NA,NA,NA
Hicksbeachia,tree,NA,NA,NA
Hippocratea,climber_woody,wings,anemochory,41.498
Hodgsoniola,herb,NA,NA,NA
Hollandaea,tree,NA,NA,NA
Hornstedtia,herb,NA,endozoochory,1.8
Horsfieldia,tree,NA,NA,NA
Hypoxis,herb,NA,undefined,1.0211999999999999
Pauridia,herb,NA,undefined,0.18304
Hypserpa,climber_woody shrub,NA,endozoochory,141
Hypsophila,tree,NA,NA,NA
Idiospermum,tree,NA,NA,82000
Ilex,tree,NA,endozoochory,NA
Intsia,tree,NA,NA,2112.15550075
