"","genus","prop_endemic","species_number","nz","nc","ng","wcvp","indo2","prop_aus","n","ala","rowsums","endemism_status"
"136","Baloskion",1,8,FALSE,FALSE,FALSE,FALSE,FALSE,0.998946012413632,8539,FALSE,0,"endemic"
"137","Bambusa",1,1,TRUE,FALSE,TRUE,TRUE,TRUE,0.516819571865443,654,TRUE,5,"non-endemic"
"138","Barbarea",1,2,TRUE,FALSE,TRUE,TRUE,FALSE,0.643421052631579,760,TRUE,4,"non-endemic"
"139","Barklya",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,159,FALSE,0,"endemic"
"140","Barongia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,66,FALSE,0,"endemic"
"141","Basedowia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,22,FALSE,0,"endemic"
"142","Bauera",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.999381379523662,9699,FALSE,0,"endemic"
"143","Baumea",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.95224344735673,22510,TRUE,1,"non-endemic"
"144","Baxteria",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,62,FALSE,0,"endemic"
"145","Beaufortia",1,22,FALSE,FALSE,FALSE,FALSE,FALSE,0.997989661114302,3482,FALSE,0,"endemic"
"146","Bedfordia",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,0.999521118666794,10441,FALSE,0,"endemic"
"147","Bellendena",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1263,FALSE,0,"endemic"
"148","Bellida",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,177,FALSE,0,"endemic"
"149","Benthamina",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,147,FALSE,0,"endemic"
"150","Bentleya",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,48,FALSE,0,"endemic"
"151","Berberidopsis",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.956989247311828,279,TRUE,2,"non-endemic"
"152","Bertya",1,28,FALSE,FALSE,FALSE,FALSE,FALSE,1,3414,FALSE,0,"endemic"
"153","Beyeria",1,24,FALSE,FALSE,FALSE,FALSE,FALSE,1,13341,FALSE,0,"endemic"
"154","Billardiera",1,23,FALSE,FALSE,TRUE,TRUE,FALSE,0.999786167407161,42089,FALSE,2,"non-endemic"
"155","Biophytum",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.631578947368421,57,TRUE,3,"non-endemic"
"156","Blackallia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,33,FALSE,0,"endemic"
"157","Blancoa",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,236,FALSE,0,"endemic"
"158","Blandfordia",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.999569151227919,2321,FALSE,0,"endemic"
"159","Bleasdalea",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.942105263157895,190,TRUE,3,"non-endemic"
"160","Blennodia",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,791,FALSE,0,"endemic"
"161","Blennospora",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1965,FALSE,0,"endemic"
"162","Blepharocarya",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,547,FALSE,0,"endemic"
"163","Bobea",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.92,125,TRUE,2,"non-endemic"
"164","Boea",1,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.834782608695652,230,TRUE,3,"non-endemic"
"165","Bonamia",1,16,FALSE,FALSE,TRUE,TRUE,TRUE,0.99969715324046,3302,FALSE,3,"non-endemic"
"166","Boronia",1,152,FALSE,TRUE,FALSE,TRUE,FALSE,0.999667560559385,45121,FALSE,2,"non-endemic"
"167","Borya",1,12,FALSE,FALSE,FALSE,FALSE,FALSE,0.999058380414313,2124,FALSE,0,"endemic"
"168","Bosistoa",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,1061,FALSE,0,"endemic"
"169","Bossiaea",1,79,FALSE,FALSE,FALSE,FALSE,FALSE,0.999978654371585,46848,FALSE,0,"endemic"
"170","Bouchardatia",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,319,FALSE,1,"non-endemic"
"171","Bowenia",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.988372093023256,516,TRUE,1,"endemic"
"172","Brachyloma",1,16,FALSE,FALSE,FALSE,FALSE,FALSE,1,20082,FALSE,0,"endemic"
"173","Brachypeza",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,1,10,FALSE,2,"non-endemic"
"174","Brachyscias",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,14,FALSE,0,"endemic"
"175","Brachysola",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,103,FALSE,0,"endemic"
"176","Brackenridgea",1,1,FALSE,FALSE,TRUE,TRUE,TRUE,0.919540229885058,174,TRUE,4,"non-endemic"
"177","Brassiantha",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.934782608695652,46,TRUE,3,"non-endemic"
"178","Brombya",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,244,FALSE,0,"endemic"
"179","Brunonia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,9244,FALSE,0,"endemic"
"180","Bubbia",1,4,FALSE,FALSE,FALSE,FALSE,TRUE,0.772194304857621,597,TRUE,2,"non-endemic"
"181","Buckinghamia",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.980978260869565,368,TRUE,1,"endemic"
"182","Bulbine",1,7,TRUE,FALSE,TRUE,TRUE,FALSE,0.998040119898547,17348,FALSE,3,"non-endemic"
"183","Burchardia",1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,20174,FALSE,0,"endemic"
"184","Burnettia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,409,FALSE,0,"endemic"
"185","Bursaria",1,8,FALSE,FALSE,FALSE,FALSE,FALSE,0.999907838348463,43402,FALSE,0,"endemic"
"186","Cadellia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.993927125506073,494,FALSE,0,"endemic"
"187","Cadetia",1,6,FALSE,FALSE,FALSE,FALSE,TRUE,0.613636363636364,308,TRUE,2,"non-endemic"
"188","Calamphoreus",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,49,FALSE,0,"endemic"
"189","Calandrinia",1,56,TRUE,FALSE,TRUE,TRUE,TRUE,0.99519516277061,18523,FALSE,4,"non-endemic"
"190","Calectasia",1,15,FALSE,FALSE,FALSE,FALSE,FALSE,1,1501,FALSE,0,"endemic"
"191","Callicoma",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.997123484692829,4867,FALSE,0,"endemic"
"192","Callipteris",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.40625,192,TRUE,2,"non-endemic"
"193","Callistachys",1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.879781420765027,549,TRUE,3,"non-endemic"
"194","Calocephalus",1,12,FALSE,FALSE,FALSE,TRUE,FALSE,1,10789,FALSE,1,"endemic"
"195","Calomeria",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.994694960212202,754,FALSE,1,"endemic"
"196","Calorophus",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,578,FALSE,0,"endemic"
"197","Calostemma",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2009,FALSE,0,"endemic"
"198","Calothamnus",1,41,FALSE,FALSE,TRUE,FALSE,FALSE,0.998655913978495,5952,FALSE,1,"endemic"
"199","Calotis",1,26,TRUE,FALSE,FALSE,TRUE,FALSE,0.998952190652566,41038,FALSE,2,"non-endemic"
"200","Calycopeplus",1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,588,FALSE,0,"endemic"
"201","Calyptochloa",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,120,FALSE,0,"endemic"
"202","Calytrix",1,86,FALSE,FALSE,FALSE,FALSE,FALSE,0.999849678311587,33262,FALSE,0,"endemic"
"203","Camonea",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.842105263157895,38,TRUE,2,"non-endemic"
"204","Campynema",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,251,FALSE,0,"endemic"
"205","Cardwellia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,265,FALSE,0,"endemic"
"206","Carinavalva",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,14,FALSE,0,"endemic"
"207","Carmichaelia",1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.0219087635054022,3332,TRUE,3,"non-endemic"
"208","Carnarvonia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,331,FALSE,0,"endemic"
"209","Carpentaria",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,756,FALSE,0,"endemic"
"210","Carronia",1,3,FALSE,FALSE,FALSE,TRUE,TRUE,0.995398773006135,652,FALSE,2,"non-endemic"
"211","Caryota",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.624390243902439,205,TRUE,3,"non-endemic"
"212","Cassia",1,4,FALSE,TRUE,TRUE,TRUE,TRUE,0.841259640102828,1556,TRUE,5,"non-endemic"
"213","Cassinia",1,46,FALSE,FALSE,FALSE,TRUE,FALSE,0.999805535749011,61708,FALSE,1,"non-endemic"
"214","Castanospora",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,380,FALSE,0,"endemic"
"215","Catacolea",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,20,FALSE,0,"endemic"
"216","Catalepidia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,134,FALSE,0,"endemic"
"217","Caustis",1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,10837,FALSE,0,"endemic"
"218","Celmisia",1,8,TRUE,FALSE,FALSE,TRUE,FALSE,0.474128338278932,10784,TRUE,3,"non-endemic"
"219","Cenarrhenes",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1768,FALSE,0,"endemic"
"220","Centratherum",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.969230769230769,650,TRUE,3,"non-endemic"
"221","Centropappus",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,128,FALSE,0,"endemic"
"222","Cephalaralia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1410,FALSE,0,"endemic"
"223","Cephalipterum",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1086,FALSE,0,"endemic"
"224","Cephalosorus",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,47,FALSE,0,"endemic"
"225","Cephalotus",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.990909090909091,110,FALSE,0,"endemic"
"226","Ceratogyne",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,333,FALSE,0,"endemic"
"227","Chaetanthus",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,541,FALSE,0,"endemic"
"228","Chamaeraphis",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.99047619047619,105,FALSE,0,"endemic"
"229","Chamaescilla",1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,7054,FALSE,0,"endemic"
"230","Chamaexeros",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,431,FALSE,0,"endemic"
"231","Chamelaucium",1,11,FALSE,FALSE,FALSE,TRUE,FALSE,0.994845360824742,2134,FALSE,1,"endemic"
