"","genus","prop_endemic","species_number","nz","nc","ng","wcvp","indo2","prop_aus","n","ala","rowsums","current_knowledge","reason","Least Concern","Critically Endangered","Data Deficient","Endangered","Near Threatened","Vulnerable","Lower Risk/near threatened","Extinct","plant_growth_form","dispersal_appendage","seed_dry_mass","dispersal_syndrome"
"67","Anodopetalum","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","1901","FALSE","0","endemic",NA,1,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","none","NULL","NULL"
"68","Anoectochilus","1",1,"FALSE","TRUE","FALSE","TRUE","TRUE","0.727272727272727","44","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"herb","NULL","NULL","NULL"
"69","Anopterus","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","0.997931319817956","2417","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""shrub"", ""tree"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""tree"", ""tree"", ""tree"", ""shrub"", ""shrub tree"")","wings","c(""0.83"", ""0.9592"", ""18.7212"")","NULL"
"70","Anthobolus","1",3,"FALSE","FALSE","FALSE","TRUE","TRUE","0.9965075669383","859","FALSE","2","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","56.1384","NULL"
"71","Anthocercis","1",10,"FALSE","FALSE","FALSE","FALSE","FALSE","1","1725","FALSE","0","endemic",NA,1,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","c(""0.4531"", ""0.415"", ""0.526"", ""0.5593"", ""0.458"", ""1.39212"", ""0.5524"", ""0.5824"")","c(""zoochory"", ""zoochory"")"
"72","Anthotium","1",4,"FALSE","FALSE","FALSE","FALSE","FALSE","1","249","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","0.0724","NULL"
"73","Anthotroche","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","316","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"74","Anticoryne","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","97","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"75","Aotus","1",17,"FALSE","FALSE","FALSE","FALSE","FALSE","1","11558","FALSE","0","endemic",NA,1,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","c(""none"", ""elaiosome"")","c(""0.825"", ""3.6"", ""2.0308108"", ""2.84"", ""2.9324"", ""3.288"", ""5.1"", ""2.778"", ""4.4036"", ""3.6908"", ""2.964"", ""3.5793"", ""3.6"", ""3.05"", ""3.425"", ""3.202"", ""2.854"", ""2.754"", ""2.972"", ""2.984"", ""2.771"", ""3.109"", ""3.042"", ""2.566"", ""2.472"", ""2.413"", ""2.446"", ""2.145"", ""2.539"", ""2.467"", ""2.905"", ""3.452"", ""2.953"", ""3.042"", ""2.849"", ""3.667"", ""2.448"", ""1.915"", ""2.804"", ""2.641"", ""2.738"", ""1.878"", ""2.301"", ""2.787"", ""2.503"", ""3.406"", ""1.982"", ""2.946"", ""2.434"", ""2.928"", ""2.859"", ""1.294"", ""2.713"", ""3.299"", ""2.742"", ""2.437"", 
""2.101"", ""3.115"", ""3.28"", ""2.663"", ""2.811"", ""2.694"", ""3.077"", ""2.498"", ""2.482"", ""2.235"", ""2.753"", ""2.483"", ""2.765"", ""3.031"", ""2.501"", ""3.721"", ""2.37"", ""2.697"", ""2.523"", ""2.679"", ""3.035"", ""2.792"", ""2.613"", ""3.198"", ""2.701"", ""3.193"", ""2.342"", ""2.532"", ""2.406"", ""3.213"", ""2.62"", ""2.527"", ""2.617"", ""2.47"", ""2.496"", ""2.609"", ""2.81"", ""1.799"", ""2.88"", ""2.727"", ""2.566"", ""3.432"", ""2.319"", ""2.969"", ""2.88"", ""3.054"", ""3.179"", ""2.642"", ""2.356"", ""3.152"", ""3.368"", ""2.474"", ""3.368"", ""2.415"", ""2.908"", ""3.296"", ""2.679"", 
""3.579"")","c(""myrmecochory"", ""myrmecochory"", ""myrmecochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""myrmecochory"")"
"76","Apalochlamys","1",1,"FALSE","FALSE","FALSE","FALSE","TRUE","1","480","FALSE","1","endemic","Indo data error",0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","pappus","NULL","c(""anemochory"", ""anemochory"", ""anemochory"")"
"77","Apatophyllum","1",5,"FALSE","FALSE","FALSE","FALSE","FALSE","1","205","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"78","Aphanes","1",2,"TRUE","FALSE","FALSE","TRUE","FALSE","0.954835542464408","2037","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""0.1464"", ""0.3048"", ""0.146"", ""57"")","c(""epizoochory"", ""epizoochory"", ""epizoochory"")"
"79","Aphanopetalum","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","0.992325056433409","2215","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""climber_herbaceous"", ""shrub"", ""shrub"", ""climber shrub"", ""climber_woody"", ""climber_woody"", ""climber_woody"", ""climber shrub"", ""climber_woody shrub"", ""climber_woody shrub"", ""climber_woody"", ""climber"")","none","4.0584","c(""barochory"", ""barochory"", ""anemochory"", ""zoochory"", ""zoochory"")"
"80","Aphelia","1",6,"FALSE","FALSE","FALSE","FALSE","FALSE","1","2271","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""herb"", ""graminoid"", ""graminoid"", ""graminoid herb"", ""graminoid herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""herb"", ""herb"", ""herb"", ""tussock"", ""tussock"", 
""tussock"", ""herb"", ""herb"")","NULL","c(""0.0352"", ""0.10692"", ""0.1052"", ""0.1343333"", ""0.134"")","c(""undefined"", ""undefined"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"")"
"81","Aphyllorchis","1",2,"FALSE","FALSE","FALSE","TRUE","TRUE","0.883333333333333","60","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"")","NULL","NULL","NULL"
"82","Apodasmia","1",2,"TRUE","FALSE","FALSE","TRUE","FALSE","0.814411612234318","1929","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""herb"", ""herb"", ""graminoid"", ""graminoid herb"", ""graminoid"", ""graminoid"", ""graminoid_not_tussock"")","NULL","c(""0.8156"", ""0.816"")","c(""zoochory"", ""zoochory"", ""barochory"")"
"83","Apodytes","1",1,"FALSE","TRUE","TRUE","TRUE","TRUE","0.962616822429906","214","TRUE","5","non-endemic",NA,1,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub"", ""tree"")","NULL","c(""110"", ""180"")","NULL"
"84","Aponogeton","1",11,"FALSE","FALSE","TRUE","TRUE","TRUE","0.915577889447236","995","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","NULL","epizoochory"
"85","Apowollastonia","1",7,"FALSE","FALSE","FALSE","TRUE","FALSE","0.988725065047702","1153","TRUE","2","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""subshrub"", ""subshrub"", ""herb"", ""herb"", ""subshrub"", ""subshrub"", ""subshrub"", ""subshrub"", ""herb shrub"", ""herb"", ""herb subshrub"", ""herb"", ""herb"", ""shrub"", ""herb shrub"", ""shrub"", ""herb"", ""shrub subshrub"", ""subshrub"", ""herb shrub"", ""herb"", ""subshrub"", ""subshrub"", ""herb shrub"", ""shrub subshrub"", ""herb"")","NULL","c(""2.192"", ""1.486"", ""0.664"")","epizoochory"
"86","Appendicula","1",1,"FALSE","TRUE","FALSE","TRUE","TRUE","0.426229508196721","122","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"")","NULL","NULL","NULL"
"87","Arabidella","1",7,"FALSE","FALSE","FALSE","FALSE","FALSE","1","2183","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""shrub"", ""subshrub"", ""herb"", ""herb"", ""subshrub"", ""shrub"", ""shrub"", ""herb"", ""herb"", ""herb"", ""subshrub"", ""subshrub"", ""shrub"", ""herb"", ""shrub"", ""shrub"", ""herb"", ""herb"", ""subshrub"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""shrub"", ""shrub"", ""herb"", ""herb"", ""subshrub"", ""shrub subshrub"", ""shrub"", ""shrub"", ""herb"", ""herb"", ""shrub"", ""shrub"")","NULL","c(""0.0404"", ""0.0628"", ""0.084"", ""0.1928"", ""0.276"", ""0.05436"", ""0.056"", ""0.102"", ""0.0416"", ""0.144"")","c(""barochory zoochory"", ""barochory zoochory"", ""barochory zoochory"", ""barochory zoochory"", ""barochory zoochory"", ""barochory zoochory"")"
"88","Archeria","1",5,"TRUE","FALSE","FALSE","TRUE","FALSE","0.720248667850799","1126","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","c(""none"", ""none"", ""none"", ""none"")","0.0312","NULL"
"89","Archidendropsis","1",3,"FALSE","TRUE","FALSE","TRUE","TRUE","0.89367816091954","348","TRUE","4","non-endemic",NA,2,0,0,0,0,0,0,0,"c(""shrub tree"", ""tree"", ""tree"", ""shrub tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub tree"", ""tree"", ""tree"")","none","63.2324","NULL"
"90","Archirhodomyrtus","1",1,"FALSE","TRUE","FALSE","TRUE","TRUE","0.992596509783184","1891","FALSE","3","non-endemic",NA,0,0,1,0,0,0,0,0,"c(""shrub"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub tree"", ""shrub tree"", ""tree"", ""shrub tree"")","NULL","1.4952","NULL"
"91","Archontophoenix","1",6,"FALSE","FALSE","FALSE","TRUE","FALSE","0.991408934707904","5820","FALSE","1","endemic","POWO data error",2,0,0,0,0,1,0,0,"c(""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""tree"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"", ""palmoid"")","NULL","c(""315.702"", ""568.2"", ""250"")","c(""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""endozoochory"")"
"92","Areocleome","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","116","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","0.21672","NULL"
"93","Argentipallium","1",5,"FALSE","FALSE","FALSE","FALSE","FALSE","1","3472","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","c(""pappus"", ""pappus"", ""pappus"")","c(""0.116"", ""0.22632"", ""0.0748"", ""0.289"")","c(""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"")"
"94","Argophyllum","1",11,"FALSE","TRUE","FALSE","TRUE","FALSE","0.956072351421189","774","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub tree"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub tree"", ""shrub tree"", ""shrub tree"", ""shrub"")","NULL","c(""0.05"", ""1.1648"", ""0.046"")","NULL"
"95","Argyroglottis","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","68","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"96","Aristotelia","1",2,"TRUE","FALSE","FALSE","TRUE","TRUE","0.793729372937294","2424","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""climber_herbaceous"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","none","6.9592","zoochory"
"97","Arnhemia","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","208","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""subshrub"", ""tree"", ""shrub"", ""shrub"")","NULL","15.3","myrmecochory"
"98","Arnocrinum","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","247","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","NULL","NULL"
"99","Arrhenechthites","1",1,"FALSE","FALSE","FALSE","TRUE","TRUE","0.955512572533849","1034","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","1.2898876","c(""anemochory"", ""anemochory"", ""anemochory"")"
"100","Artabotrys","1",1,"FALSE","FALSE","TRUE","TRUE","TRUE","0.43010752688172","93","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""climber_woody"", ""climber_woody"", ""climber_herbaceous tree"", ""climber_herbaceous"", ""climber_herbaceous"", ""climber_herbaceous"", ""climber_woody"")","NULL","NULL","NULL"
"101","Arthragrostis","1",4,"FALSE","FALSE","FALSE","FALSE","FALSE","1","59","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""tussock"", ""tussock"", ""herb"", ""herb"", ""herb"", ""herb"", ""tussock"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""tussock"")","c(""none"", ""none"")","NULL","c(""anemochory"", ""anemochory"")"
"102","Arthropodium","1",7,"TRUE","TRUE","FALSE","TRUE","FALSE","0.983019746391696","36513","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""tussock"", ""tussock"", ""herb"", ""geophyte"", ""graminoid"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""tussock"", ""herb"", ""herb"", 
""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""tussock"", ""tussock"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""1.5276"", ""2.017"", ""0.483"", ""1.672"", ""1.6168"", ""0.384"", ""1.7833"", ""1.43"", ""2.23"", ""1.832"", ""1.063"", ""1.603"", ""1.31"", ""1.9"", ""1.82"", ""0.32485"", ""0.177256"", ""1.1108"", ""1.8648"", ""1.8984"", ""0.8832"", ""0.9732"", ""1.4764"", ""1.8"", ""1.92"", ""2.2"", ""0.7566"", ""0.8"", ""1.043"", ""2.1"", ""2.86"", ""2.27"", ""2.04"", ""1.76"", ""1.99"", ""1.95"", ""1.74"", ""1.99"", ""1.42"", ""0.58"", ""2.2"", ""0.883"", ""1.5148"", ""1.02"", ""1.571"")","c(""undefined"", ""undefined"", ""anemochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""undefined"", ""undefined"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"", ""barochory"")"
"103","Arthrostylis","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.995539696699376","1121","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""graminoid"", ""tussock"", ""graminoid tussock"", ""herb"", ""herb"", ""graminoid"", ""herb"", ""graminoid herb"", ""graminoid"")","NULL","1.8","barochory"
"104","Asperula","1",21,"FALSE","FALSE","FALSE","TRUE","TRUE","0.998990359562272","30704","FALSE","2","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", 
""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""climber"", ""climber"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","c(""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"")","c(""0.0601"", ""1.496"", ""2"", ""2.2116"", ""2.9488"", ""3.7568"", ""2.13832"", ""0.792"", ""0.52"", ""2.2113"", ""3.52476"")","c(""undefined"", ""barochory"", ""undefined"", ""undefined"", ""barochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""barochory"", ""barochory"", ""barochory"")"
"105","Astartea","1",22,"FALSE","FALSE","FALSE","FALSE","FALSE","0.994670219853431","1501","FALSE","0","endemic",NA,1,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""subshrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub""
)","NULL","c(""0.23"", ""0.3105"", ""0.07908"", ""0.0936"", ""0.126"", ""0.1336"", ""0.1422"", ""0.042"", ""7.6923"", ""0.072"", ""0.092"", ""0.5457"", ""0.07"")","NULL"
"106","Asteridea","1",9,"FALSE","FALSE","FALSE","FALSE","FALSE","1","1606","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb shrub"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""0.04532"", ""0.5024096"")","c(""epizoochory"", ""epizoochory"", ""epizoochory"")"
