genus,prop_endemic,species_number,nz,nc,ng,indo,wcvp
Archidendropsis,1,3,FALSE,TRUE,FALSE,TRUE,TRUE
Archirhodomyrtus,1,1,FALSE,TRUE,FALSE,TRUE,TRUE
Archontophoenix,1,6,TRUE,FALSE,FALSE,TRUE,TRUE
Areocleome,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
Argentipallium,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Argophyllum,1,11,FALSE,TRUE,FALSE,TRUE,TRUE
Argyroglottis,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Aristotelia,1,2,TRUE,FALSE,FALSE,TRUE,TRUE
Arnhemia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Arnocrinum,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Arrhenechthites,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Artabotrys,1,1,FALSE,FALSE,TRUE,TRUE,TRUE
Arthragrostis,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Arthropodium,1,7,TRUE,TRUE,FALSE,TRUE,TRUE
Arthrostylis,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Asperula,1,21,TRUE,FALSE,FALSE,TRUE,TRUE
Astartea,1,22,TRUE,FALSE,FALSE,TRUE,FALSE
Asteridea,1,9,FALSE,FALSE,FALSE,TRUE,FALSE
Asterolasia,1,17,FALSE,FALSE,FALSE,TRUE,FALSE
Asterotrichion,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Astonia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Astrebla,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Astroloma,1,21,FALSE,FALSE,FALSE,TRUE,FALSE
Astrotricha,1,19,FALSE,FALSE,FALSE,TRUE,FALSE
Astus,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Atherosperma,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Athertonia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Athrotaxis,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Atkinsonia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Auranticarpa,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Australopyrum,1,3,TRUE,FALSE,FALSE,TRUE,TRUE
Austrobaileya,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Austrobryonia,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Austrobuxus,1,2,FALSE,TRUE,FALSE,TRUE,TRUE
Austrochloris,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Austrodolichos,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Austromatthaea,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Austromuellera,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Austromyrtus,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
Azanza,1,1,FALSE,FALSE,TRUE,TRUE,TRUE
Babingtonia,1,10,FALSE,FALSE,FALSE,TRUE,FALSE
Backhousia,1,13,FALSE,FALSE,FALSE,TRUE,FALSE
Baileyoxylon,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Balanops,1,1,FALSE,TRUE,FALSE,TRUE,TRUE
Balaustion,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Balladonia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ballantinia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Baloskion,1,8,FALSE,FALSE,FALSE,TRUE,FALSE
Bambusa,1,1,TRUE,FALSE,TRUE,TRUE,TRUE
Barbarea,1,2,TRUE,FALSE,TRUE,TRUE,TRUE
Barklya,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Barongia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
