genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge,reason,Least Concern,Critically Endangered,Endangered,Near Threatened,Vulnerable,Data Deficient,Lower Risk/near threatened,Lower Risk/conservation dependent,Extinct
Adenanthera,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Adenanthos,1,31,FALSE,FALSE,FALSE,FALSE,FALSE,1,6644,FALSE,0,endemic,NA,8,2,9,2,4,1,0,0,0
Adenia,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Adenochilus,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.665354330708661,254,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Adenosma,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Adenostemma,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Adiantum,0.25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Adriana,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,2982,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Aegialitis,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aegiceras,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aeginetia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.4,5,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aenictophyton,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,121,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Aerva,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aeschynomene,0.3333333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Afrohybanthus,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Agastachys,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,643,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Agathis,0.6666666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,2,0,0,0,0,0
Agiortia,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,461,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Aglaia,0.3333333333333333,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,3,0,0,0,2,0,1,0,0
Agonis,1,4,TRUE,FALSE,TRUE,FALSE,FALSE,0.97248322147651,1490,TRUE,3,non-endemic,NA,1,0,0,0,0,0,0,0,0
Agrostis,0.7272727272727273,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Agrostocrinum,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,723,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Aidia,0.6666666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Ailanthus,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Ajuga,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.982453030840128,11284,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
