genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge,reason,Least Concern,Critically Endangered,Endangered,Near Threatened,Vulnerable,Data Deficient,Lower Risk/near threatened,Lower Risk/conservation dependent,Extinct
Corchorus,0.8484848484848485,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cordia,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cordyline,0.5555555555555556,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,4,0,0,0,0,0,0,0,0
Corokia,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.357377049180328,915,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Coronidium,1,21,FALSE,FALSE,FALSE,FALSE,FALSE,1,26773,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Correa,1,11,FALSE,FALSE,FALSE,TRUE,FALSE,0.998355838522354,28586,FALSE,1,endemic,introduced ornamentals in UK,0,0,0,0,0,0,0,0,0
Corsia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.5,66,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Corunastylis,0.9661016949152542,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Corybas,0.8888888888888888,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Corymbia,0.7956989247311828,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,17,0,0,9,0,0,0,0,0
Corymborkis,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Corynanthera,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,32,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Corynocarpus,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Corynotheca,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,0.998959417273673,961,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Corypha,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cosmelia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,129,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cossinia,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,0.95,60,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cotula,0.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Craspedia,1,19,TRUE,FALSE,FALSE,TRUE,FALSE,0.838028169014085,16756,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Crassula,0.4545454545454545,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Crateva,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cratystylis,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,1453,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cremnothamnus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,216,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Crenidium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,27,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Crepidomanes,0.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cressa,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.998607242339833,2154,FALSE,1,non-endemic,"species found in Africa, Americas, South Asia etc",1,0,0,0,0,0,0,0,0
Crinum,0.9230769230769232,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Crispiloba,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,132,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cristonia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,202,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Croninia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Crosslandia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,226,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Crotalaria,0.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,3,0,0,0,0,0,0,0,0
Croton,0.8333333333333334,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,5,0,0,0,0,0,0,0,0
Crowea,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,0.999167360532889,2402,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Crudia,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cryptandra,1,56,FALSE,FALSE,FALSE,FALSE,FALSE,0.998703378842194,13111,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cryptocarya,0.68,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,3,0,0,0,0,1,0,0,0
Cryptostylis,0.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Ctenopterella,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Ctenopteris,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,0.038961038961039,385,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cucumis,0.75,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cullen,0.9230769230769232,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,1,0,0,0,0,0
Cupaniopsis,0.875,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,5,0,0,0,0,1,0,0,0
Cuphonotus,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,469,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Curculigo,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.927272727272727,330,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Curcuma,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cuscuta,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cuttsia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,671,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cyanicula,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,1,3651,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cyanostegia,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,662,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cyanotis,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cyanthillium,0.3333333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cyathea,0.875,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cyathochaeta,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,5499,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Cyathodes,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,0.991628614916286,2628,FALSE,1,endemic,"taxonomic confusion, tasmania only",0,0,0,0,0,0,0,0,0
Cyathostemon,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,0.997530864197531,405,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cycas,0.9090909090909092,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,12,0,3,7,9,0,0,0,0
Cyclocarpa,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cyclophyllum,0.7777777777777778,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,6,0,0,0,0,0,0,0,0
Cyclosorus,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cycnogeton,0.75,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cymaria,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cymbidium,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,0.998877413560844,4454,FALSE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cymbonotus,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,10600,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cymbopogon,0.5555555555555556,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cymodocea,0.3333333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cynanchum,0.6363636363636364,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cynodon,1,4,TRUE,TRUE,TRUE,TRUE,TRUE,0.989420280888449,32326,TRUE,6,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cynoglossum,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cynometra,0.3333333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Cyperochloa,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cyperus,0.5619834710743802,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,15,0,0,0,1,0,0,0,0
Cyphanthera,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,0.999383477188656,1622,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cypselocarpus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,39,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Cyrtandra,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.169014084507042,497,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cyrtococcum,0.25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cyrtostylis,1,4,TRUE,FALSE,FALSE,TRUE,FALSE,0.970094148052428,5417,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cystopteris,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Cytogonidium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,120,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dactyliophora,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.32,50,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dactyloctenium,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.979967514889009,5541,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dalbergia,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,3,0,0,0,0,0,0,0,0
Dallwatsonia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,6,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Damasonium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.996478873239437,1704,FALSE,1,non-endemic,"species found in Africa, Americas, South Asia etc",0,0,0,0,0,0,0,0,0
Dampiera,1,68,FALSE,FALSE,FALSE,FALSE,FALSE,1,30492,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Danhatchia,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dansiea,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,61,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Daphnandra,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,2820,FALSE,0,endemic,NA,3,0,0,0,0,0,0,0,0
Dapsilanthus,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Darlingia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,319,FALSE,0,endemic,NA,2,0,0,0,0,0,0,0,0
Darwinia,1,51,FALSE,FALSE,FALSE,FALSE,FALSE,0.999616711383672,10436,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dasymalla,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,639,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dasypogon,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1358,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Daucus,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Davallia,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Davidsonia,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,0.995417048579285,1091,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Daviesia,1,131,FALSE,FALSE,FALSE,FALSE,FALSE,0.999966659998666,59988,FALSE,0,endemic,NA,5,0,0,2,0,0,0,0,0
Debregeasia,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,0.392638036809816,163,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Decaisnina,0.42857142857142855,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Decalobanthus,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Decaneuropsis,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Decaschistia,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,0.993589743589744,156,FALSE,2,non-endemic,NA,0,0,0,0,0,0,0,0,0
Decaspermum,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Decazesia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,39,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Deeringia,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Delarbrea,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.896551724137931,261,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Demorchis,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,14,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dendrobium,0.5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,9,0,0,2,0,0,0,0,0
Dendrocnide,0.375,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,3,0,0,0,0,0,0,0,0
Dendroconche,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,217,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dendrolobium,0.6666666666666666,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dendromyza,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dendrophthoe,0.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dendrotrophe,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Denhamia,1,13,FALSE,TRUE,FALSE,TRUE,TRUE,0.999675271959734,12318,FALSE,3,non-endemic,NA,7,0,0,0,0,0,0,0,0
Dennstaedtia,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,0.768813033359193,1289,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dentella,0.8888888888888888,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Deparia,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Deplanchea,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Derris,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,1,0,0,0
Deschampsia,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Desmocladus,1,23,FALSE,FALSE,FALSE,FALSE,FALSE,1,3816,FALSE,0,endemic,NA,0,0,0,0,1,0,0,0,0
Desmodiopsis,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,41,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Desmodium,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Desmos,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,0.851485148514851,404,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Deyeuxia,0.9705882352941176,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dianella,0.8695652173913043,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Diaspasis,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,89,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dicarpidium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,123,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dichanthium,0.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dichapetalum,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dichelachne,0.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dichondra,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dichopogon,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,1,652,FALSE,1,endemic,taxonomic error in indo data,0,0,0,0,0,0,0,0,0
Dichosciadium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,253,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dichromochlamys,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,257,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dichrostachys,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Dicksonia,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,0.897481806630473,17314,TRUE,6,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dicladanthera,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,113,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dicliptera,0.75,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dicranopteris,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dicrastylis,1,31,FALSE,FALSE,FALSE,FALSE,FALSE,1,3438,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dictymia,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dictyoneura,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Didymanthus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,238,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Didymoglossum,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Didymoplexis,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dielitzia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,101,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dielsia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,95,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dielsiodoxa,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,252,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dienia,1,6,FALSE,FALSE,FALSE,TRUE,TRUE,0.991803278688525,244,FALSE,2,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dietes,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,0.952,500,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Digitaria,0.7222222222222222,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Dillenia,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dillwynia,1,29,FALSE,FALSE,FALSE,FALSE,FALSE,0.999962468097883,53288,FALSE,0,endemic,NA,1,0,0,1,0,0,0,0,0
Dimeria,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dimocarpus,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.897196261682243,107,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dimorphocalyx,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dimorphocoma,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,63,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dinebra,0.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dinghoua,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,84,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dinosperma,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,596,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Diocirea,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,53,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dioclea,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Diodontium,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,7,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Dioscorea,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,1,0,0,0,0,0
Diospyros,0.6190476190476191,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Diplachne,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Diplacrum,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Diplarrena,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,3242,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Diplaspis,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,629,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Diplatia,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,494,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Diplazium,0.3636363636363637,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Diplocaulobium,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,0.334302325581395,344,TRUE,2,non-endemic,NA,0,0,0,0,0,0,0,0,0
Diplocyclos,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Diploglottis,0.8181818181818182,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Diplolaena,1,15,FALSE,FALSE,FALSE,FALSE,FALSE,1,1139,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Diplopeltis,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,887,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Diplopterygium,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dipodium,0.8181818181818182,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,1,0,0,0,0,0,0
Dipteracanthus,1,3,FALSE,FALSE,TRUE,TRUE,FALSE,0.943030303030303,825,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dipteris,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Discaria,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.917297024710035,1983,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dischidia,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Diselma,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.995305164319249,426,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Disphyma,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,0.952554213360501,6871,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dissiliaria,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,409,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Dissocarpus,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,8058,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Distichlis,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.995792426367462,4278,FALSE,1,non-endemic,found in americas,0,0,0,0,0,0,0,0,0
Distimake,0.6666666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Dithyrostegia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,41,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Diuris,1,99,FALSE,FALSE,FALSE,TRUE,TRUE,1,49186,FALSE,2,non-endemic,NA,0,2,1,0,0,0,0,0,0
Dockrillia,1,20,FALSE,FALSE,FALSE,FALSE,FALSE,0.989352102508572,5541,TRUE,1,non-endemic,found in PNG POWO taxonomic confusion,0,0,0,0,0,0,0,0,0
