Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Asteraceae,Anthemis,cotula,L.,,,,,,,Accepted,,Not indigenous; Naturalised
Asteraceae,Othonna,nigromontana,Magoswana & J.C.Manning,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Cynanchum,tetrapterum,(Turcz.) R.A.Dyer ex Bullock,,,,,,,Synonym,Cynanchum gerrardii (Harv.) Liede,
Aizoaceae,Ruschia,amoena,Schwantes,,,,,,,Synonym,Antimima amoena (Schwantes) H.E.K.Hartmann,Present
Aizoaceae,Lampranthus,persistens,(L.Bolus) L.Bolus,,,,,,,Synonym,Phiambolia persistens (L.Bolus) Klak,Indigenous
Pilotrichaceae,Cyclodictyon,vallis-gratiae,(Hampe ex Mull.Hal.) Kuntze,,,,,,,Accepted,,Indigenous
Aizoaceae,Mesembryanthemum,dejagerae,(L.Bolus) N.E.Br.,,,,,,,Synonym,Ruschia dejagerae L.Bolus,Indigenous
Amaryllidaceae,Nerine,duparquetiana,Baker,,,,,,,Synonym,Nerine laticoma (Ker Gawl.) T.Durand & Schinz,
Asteraceae,Cotula,barbata,DC.,,,,,,,Accepted,,Indigenous; Endemic
Orchidaceae,Disa,brendae,H.P.Linder,,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Cyphia,botrys,Willd. ex Roem. & Schult.,,,,,,,Synonym,Cyphia bulbosa (L.) P.J.Bergius,Indigenous
Poaceae,Cynodon,nlemfuensis,Vanderyst,,,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Aizoaceae,Ruschia,dasyphylla,(Schltr.) Schwantes,,,,,,,Synonym,Antimima dasyphylla (Schltr.) H.E.K.Hartmann,Present
Aizoaceae,Ruschia,knysnana,(L.Bolus) L.Bolus,var.,angustifolia,L.Bolus,,,,Synonym,Ruschia knysnana (L.Bolus) L.Bolus,Indigenous
Asteraceae,Aster,squamatus,(Spreng.) Hieron.,,,,,,,Synonym,Symphyotrichum squamatum (Spreng.) G.L.Nesom,Not indigenous; Naturalised
Aizoaceae,Oscularia,thermarum,(L.Bolus) H.E.K.Hartmann,,,,,,,Accepted,,Indigenous; Endemic
Polygalaceae,Muraltia,paludosa,Levyns,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Antimima,minutifolia,(L.Bolus) H.E.K.Hartmann,,,,,,,Accepted,,Indigenous; Endemic
Colchicaceae,Littonia,rigidifolia,Bredell,,,,,,,Synonym,Gloriosa rigidifolia (Bredell) J.C.Manning & Vinn.,Indigenous; Endemic
Asteraceae,Berkheya,spinosa,(L.f.) Druce,,,,,,,Accepted,,Indigenous; Endemic
