Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Rutaceae,Agathosma,concava,Pillans,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Sophora,inhambanensis,Klotzsch,,,,,,,Accepted,,Indigenous
Apocynaceae,Cryptostegia,grandiflora,R.Br.,,,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Fabaceae,Aspalathus,suaveolens,Eckl. & Zeyh.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Helichrysum,argentissimum,J.M.Wood,,,,,,,Accepted,,Indigenous
Orchidaceae,Disa,gladioliflora,Burch. ex Lindl.,,,,,,,Inclusive,,Indigenous
Scrophulariaceae,Manulea,rhodantha,Hilliard,subsp.,rhodantha,,,,,Accepted,,Indigenous
Asteraceae,Othonna,elliptica,DC.,,,,,,,Synonym,Othonna bulbosa L.,Indigenous
Iridaceae,Gladiolus,sparrmanii,(Thunb.) N.E.Br.,,,,,,,Synonym,Freesia sparrmanii (Thunb.) N.E.Br.,Present
Scrophulariaceae,Zaluzianskya,chasmanthiflora,(Hilliard) J.C.Manning & Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,crassuloides,Haw.,,,,,,,Synonym,Delosperma crassuloides (Haw.) L.Bolus,Indigenous
Iridaceae,Lapeirousia,dolomitica,Dinter,,,,,,,Accepted,,Indigenous
Asteraceae,Berkheya,radula,(Harv.) De Wild.,,,,,,,Accepted,,Indigenous
Anacardiaceae,Searsia,grandidens,(Harv. ex Engl.) Moffett,,,,,,,Accepted,,Indigenous
Geraniaceae,Geranium,baurianum,R.Knuth,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,esterhuizenii,M.Hayashi,,,,,,,Synonym,Haworthia pygmaea Poelln. var. dekenahii (G.G.Sm.) M.B.Bayer,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,falcatum,L.,,,,,,,Synonym,Lampranthus falcatus (L.) N.E.Br.,Indigenous
Hypoxidaceae,Hypoxis,gracilipes,Schltr.,,,,,,,Synonym,Pauridia gracilipes (Schltr.) Snijman & Kocyan,Indigenous
Fabaceae,Indigofera,ionii,Jarvie & C.H.Stirt.,,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,galpinii,Schltr.,,,,,,,Accepted,,Indigenous
Santalaceae,Viscum,schaeferi,Engl. & K.Krause,,,,,,,Accepted,,Indigenous
Anacardiaceae,Searsia,zeyheri,(Sond.) Moffett,,,,,,,Accepted,,Indigenous; Endemic
Proteaceae,Leucadendron,humifusum,(Meisn.) E.Phillips & Hutch.,,,,,,,Synonym,Leucadendron tinctum I.Williams,Indigenous
Iridaceae,Ixia,patens,Aiton,,,,,,,Accepted,,Indigenous; Endemic
Hyacinthaceae,Lachenalia,campanulata,Baker,,,,,,,Accepted,,Indigenous; Endemic
Celastraceae,Gymnosporia,crataegiflora,Davidson,,,,,,,Synonym,Gymnosporia woodii Szyszyl.,Present
Asteraceae,Arctotis,subacaulis,(DC.) Beauverd,,,,,,,Accepted,,Indigenous
Dipsacaceae,Scabiosa,albanensis,R.A.Dyer,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,reinwardtii,(Salm-Dyck) Haw.,var.,triebnerii,Resende,,,,Synonym,Haworthiopsis reinwardtii (Salm-Dyck) G.D.Rowley var. reinwardtii   forma reinwardtii,Indigenous
Cyperaceae,Fimbristylis,dichotoma,(L.) Vahl,,,,,,,Inclusive,,Indigenous
Bruchiaceae,Trematodon,pillansii,Dixon,,,,,,,Accepted,,Indigenous; Endemic
Hyacinthaceae,Drimia,pulchromarginata,J.C.Manning & Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Euphorbiaceae,Euphorbia,caput-medusae,L.,,,,,,,Accepted,,Indigenous
Orchidaceae,Corycium,crispum,(Thunb.) Sw.,,,,,,,Synonym,Pterygodium crispum (Thunb.) Schltr.,Indigenous; Endemic
Linderniaceae,Linderniella,bolusii,"(Hiern) Eb.Fisch., Schaferh. & Kai Mull.",,,,,,,Accepted,,Indigenous
Iridaceae,Moraea,venenata,Dinter,,,,,,,Accepted,,Indigenous
Hyacinthaceae,Massonia,bifolia,(Jacq.) J.C.Manning & Goldblatt,,,,,,,Accepted,,Indigenous
Fabaceae,Sesbania,virgata,(Cav.) Pers.,,,,,,,Accepted,,Not indigenous; Naturalised
Aizoaceae,Dactylopsis,digitata,(Aiton) N.E.Br.,subsp.,littlewoodii,(L.Bolus) Klak,,,,Synonym,Mesembryanthemum digitatum Aiton subsp. littlewoodii (L.Bolus) Klak,Indigenous; Endemic
Aizoaceae,Tetragonia,erecta,Adamson,,,,,,,Accepted,,Indigenous; Endemic
Rhamnaceae,Phylica,fruticosa,Schltr.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Hedypnois,cretica,(L.) Dum.Cours.,,,,,,,Synonym,Hedypnois rhagadioloides (L.) F.W.Schmidt,Not indigenous; Naturalised
Hyacinthaceae,Dipcadi,platyphyllum,Baker,,,,,,,Accepted,,Indigenous
Aizoaceae,Psilocaulon,peersii,L.Bolus,,,,,,,Synonym,Mesembryanthemum corallinum Thunb.,Indigenous
Iridaceae,Gladiolus,caryophyllaceus,(Burm.f.) Poir.,,,,,,,Accepted,,Indigenous; Endemic
Amaranthaceae,Sericocoma,capitata,Moq.,,,,,,,Synonym,Calicorema capitata (Moq.) Hook.f.,Indigenous
Ericaceae,Erica,cordata,Andrews,,,,,,,Inclusive,,Indigenous
Agavaceae,Anthericum,exuviatum,Jacq.,,,,,,,Synonym,Drimia exuviata (Jacq.) Jessop,Indigenous
Rutaceae,Oricia,swynnertonii,(Baker f.) I.Verd.,,,,,,,Synonym,Vepris bachmannii (Engl.) Mziray,Indigenous
Cyperaceae,Ficinia,gracilis,Schrad.,,,,,,,Accepted,,Indigenous
Fabaceae,Lotononis,lotononoides,(Scott-Elliot) B.-E.van Wyk,,,,,,,Accepted,,Indigenous
Tecophilaeaceae,Cyanella,hyacinthoides,Royen ex L.,,,,,,,Accepted,,Indigenous; Endemic
Poaceae,Aristida,canescens,Henrard,subsp.,ramosa,De Winter,,,,Accepted,,Indigenous; Endemic
Salicaceae,Dovyalis,lucida,Sim,,,,,,,Accepted,,Indigenous
Restionaceae,Ischyrolepis,sporadica,Esterh.,,,,,,,Synonym,Restio sporadicus (Esterh.) H.P.Linder & C.R.Hardy,Indigenous; Endemic
Apocynaceae,Asclepias,gibba,(E.Mey.) Schltr.,var.,gibba,,,,,Accepted,,Indigenous
Anacardiaceae,Searsia,sekhukhuniensis,(Moffett) Moffett,,,,,,,Accepted,,Indigenous; Endemic
Bartramiaceae,Bartramidula,globosa,(Mull.Hal.) Broth.,var.,tenuicaulis,(Mull.Hal.) Sim,,,,Synonym,Philonotis globosa (Mull.Hal.) D.G.Griffin & W.R.Buck,
Passifloraceae,Passiflora,suberosa,L.,,,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Aizoaceae,Aloinopsis,spathulata,(Thunb.) L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Poaceae,Hyparrhenia,dichroa,(Steud.) Stapf,,,,,,,Accepted,,Indigenous
Pteridaceae,Cheilanthes,hirta,Sw.,var.,nemorosa,W.Jacobsen & N.H.G.Jacobsen,,,,Accepted,,Indigenous
Alismataceae,Burnatia,sp.,,,,,,,,Genus level,,
Aphloiaceae,Aphloia,theiformis,(Vahl) Benn.,,,,,,,Accepted,,Indigenous
Scrophulariaceae,Sutera,campanulata,(Benth.) Kuntze,,,,,,,Synonym,Chaenostoma campanulatum Benth.,Indigenous; Endemic
Apocynaceae,Brachystelma,gerrardii,Harv.,,,,,,,Synonym,Ceropegia gerrardii (Harv.) Bruyns,Indigenous; Endemic
Aizoaceae,Ruschia,decumbens,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Dipsacaceae,Scabiosa,incisa,Mill.,,,,,,,Accepted,,Indigenous; Endemic
Molluginaceae,Pharnaceum,alpinum,Adamson,,,,,,,Accepted,,Indigenous
Rosaceae,Cliffortia,weimarckii,C.Whitehouse,,,,,,,Accepted,,Indigenous
Asteraceae,Crassothonna,cacalioides,(L.f.) B.Nord.,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Delosperma,rileyi,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,leucotrachela,H.A.Baker,,,,,,,Inclusive,,Indigenous
Ericaceae,Erica,plukenetii,L.,subsp.,plukenetii,,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Strumaria,stellaris,(Jacq.) Ker Gawl.,,,,,,,Synonym,Hessea stellaris (Jacq.) Herb.,
Asteraceae,Pulicaria,sp.,,,,,,,,Genus level,,
Aizoaceae,Antimima,amoena,(Schwantes) H.E.K.Hartmann,,,,,,,Accepted,,Indigenous; Endemic
Rubiaceae,Otiophora,calycophylla,(Sond.) Schltr. & K.Schum.,subsp.,verdcourtii,Puff,,,,Accepted,,Indigenous; Endemic
Dennstaedtiaceae,Pteridium,sp.,,,,,,,,Genus level,,
Apocynaceae,Ceropegia,burchelliana,Bruyns,,,,,,,Accepted,,Indigenous
Acanthaceae,Neuracanthus,africanus,T.Anderson ex S.Moore,var.,limpopoensis,Bidgood & Brummitt,,,,Synonym,Neuracanthus africanus T.Anderson ex S.Moore,Indigenous
Rosaceae,Cliffortia,ferricola,C.Whitehouse,,,,,,,Accepted,,Indigenous
Lobeliaceae,Lobelia,capillipes,Schltr.,,,,,,,Synonym,Lobelia pinifolia L.,Indigenous
Amaryllidaceae,Hessea,speciosa,Snijman,,,,,,,Accepted,,Indigenous
Acanthaceae,Rhytiglossa,origanoides,Nees,,,,,,,Synonym,Isoglossa origanoides (Nees) S.Moore,Indigenous
Aizoaceae,Lampranthus,longistamineus,(L.Bolus) N.E.Br.,,,,,,,Synonym,Lampranthus glaucus (L.) N.E.Br.,Indigenous; Endemic
Aizoaceae,Conicosia,coruscans,(Haw.) Schwantes,,,,,,,Synonym,Conicosia elongata (Haw.) N.E.Br.,Present
Cyperaceae,Cyathocoma,bachmannii,(Kuk.) C.Archer,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Sparaxis,metelerkampiae,(L.Bolus) Goldblatt & J.C.Manning,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Carissa,edulis,Vahl,,,,,,,Synonym,Carissa spinarum L.,Indigenous
Iridaceae,Geissorhiza,heterostyla,L.Bolus,,,,,,,Inclusive,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,nodiflorum,L.,,,,,,,Accepted,,Indigenous
Acanthaceae,Monechma,bracteatum,Hochst.,var.,non-strobilifera,C.B.Clarke,,,,Synonym,Justicia bracteata (Hochst.) Zarb,
Orthotrichaceae,Schlotheimia,ferruginea,(Bruch ex Hook. & Grev.) Brid.,,,,,,,Accepted,,Indigenous
Menyanthaceae,Nymphoides,thunbergiana,(Griseb.) Kuntze,,,,,,,Accepted,,Indigenous
Hyacinthaceae,Hyacinthus,orchioides,L.,,,,,,,Synonym,Lachenalia orchioides (L.) Aiton,Indigenous
Fabaceae,Indigofera,cytisoides,(L.) L.,,,,,,,Accepted,,Indigenous; Endemic
Plumbaginaceae,Afrolimon,longifolium,(Thunb.) Lincz.,,,,,,,Synonym,Limonium longifolium (Thunb.) R.A.Dyer,Indigenous; Endemic
Lobeliaceae,Cyphia,atriplicifolia,C.Presl,,,,,,,Synonym,Cyphia crenata (Thunb.) C.Presl,Indigenous
Asteraceae,Venidium,subcalvum,DC.,var.,ambiguum,DC.,,,,Synonym,Arctotis scabra Thunb.,Indigenous
Iridaceae,Bobartia,longicyma,J.B.Gillett,,,,,,,Inclusive,,Indigenous
Asteraceae,Helichrysum,rosum,(P.J.Bergius) Less.,var.,rosum,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Gladiolus,falcatus,L.f.,,,,,,,Synonym,Codonorhiza falcata (L.f.) Goldblatt & J.C.Manning,Present
Asphodelaceae,Haworthia,schmidtiana,Poelln.,var.,suberectata,Poelln.,,,,Synonym,Haworthiopsis nigra (Haw.) G.D.Rowley var. nigra,Indigenous
Orchidaceae,Disa,ocellata,Bolus,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Ptycholobium,sp.,,,,,,,,Genus level,,
Asphodelaceae,Haworthia,fasciata,(Willd.) Haw.,var.,fasciata,,forma,variabilis,Poelln.,Synonym,Haworthiopsis fasciata (Willd.) G.D.Rowley var. fasciata,Indigenous
Hyacinthaceae,Eucomis,pallidiflora,Baker,subsp.,pallidiflora,,,,,Accepted,,Indigenous
Hyacinthaceae,Albuca,albucoides,(Aiton) J.C.Manning & Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschia,acocksii,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Cyperaceae,Trichelostylis,contexta,Nees,,,,,,,Synonym,Bulbostylis contexta (Nees) M.Bodard,Indigenous
Asteraceae,Osteospermum,striatum,Burtt Davy,,,,,,,Accepted,,Indigenous; Endemic
Malvaceae,Hermannia,spinosa,E.Mey. ex Harv.,,,,,,,Accepted,,Indigenous
Haloragaceae,Serpicula,repens,L.,var.,brachypoda,Welw. ex Hiern,,,,Synonym,Laurembergia repens P.J.Bergius subsp. brachypoda (Welw. ex Hiern) Oberm.,
Lobeliaceae,Monopsis,corymbosa,G.Don,var.,pedicellaris,C.Presl,,,,Synonym,Lobelia jasionoides (A.DC.) E.Wimm.,Indigenous
Aizoaceae,Cleretum,patersonjonesii,Klak,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Ceropegia,pachypodium,(R.A.Dyer) Bruyns,,,,,,,Accepted,,Indigenous; Endemic
Verbenaceae,Lippia,pretoriensis,H.Pearson,,,,,,,Accepted,,Indigenous
Iridaceae,Ixia,sparrmanii,(Thunb.) Roem. & Schult.,,,,,,,Synonym,Freesia sparrmanii (Thunb.) N.E.Br.,Indigenous
Aizoaceae,Sceletium,boreale,L.Bolus,,,,,,,Synonym,Mesembryanthemum tortuosum L.,Present
Iridaceae,Moraea,calcicola,Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Venidium,bellidiastrum,S.Moore,,,,,,,Synonym,Arctotis bellidiastrum (S.Moore) K.Lewin,
Orchidaceae,Eulophia,streptopetala,Lindl.,,,,,,,Accepted,,Indigenous
Santalaceae,Thesium,natalense,Sond.,,,,,,,Accepted,,Indigenous
Amaranthaceae,Chenolea,convallis,Snijman & J.C.Manning,,,,,,,Accepted,,Indigenous; Endemic
Acanthaceae,Dicliptera,eenii,S.Moore,,,,,,,Accepted,,Indigenous
Ericaceae,Erica,marifolia,Aiton,,,,,,,Accepted,,Indigenous; Endemic
Campanulaceae,Wahlenbergia,rhytidosperma,Thulin,,,,,,,Accepted,,Indigenous; Endemic
Araceae,Pistia,sp.,,,,,,,,Genus level,,
Dipsacaceae,Cephalaria,foliosa,Compton,,,,,,,Accepted,,Indigenous
Solanaceae,Lycium,cordatum,Mill.,,,,,,,Synonym,Carissa bispinosa (L.) Desf. ex Brenan,Indigenous
Scrophulariaceae,Selago,serrata,P.J.Bergius,,,,,,,Synonym,Pseudoselago serrata (P.J.Bergius) Hilliard,Present
Acanthaceae,Justicia,microphylla,(Klotzsch) Lindau,,,,,,,Synonym,Justicia protracta (Nees) T.Anderson,
Fabaceae,Brachystegia,spiciformis,Benth.,var.,mpalensis,(Micheli) Hoyle,,,,Synonym,Brachystegia spiciformis Benth.,
Anacampserotaceae,Anacampseros,papyracea,E.Mey. ex Fenzl,subsp.,papyracea,,,,,Accepted,,Indigenous
Proteaceae,Faurea,speciosa,Welw.,var.,lanuginosa,Hiern,,,,Synonym,Faurea rochetiana (A.Rich.) Chiov. ex Pic.Serm.,Indigenous
Ericaceae,Grisebachia,minutiflora,N.E.Br.,,,,,,,Synonym,Erica caprina E.G.H.Oliv.,Indigenous
Crassulaceae,Crassula,rupestris,Thunb.,subsp.,rupestris,,,,,Accepted,,Indigenous; Endemic
Gentianaceae,Enicostema,sp.,,,,,,,,Genus level,,
Cyperaceae,Schoenus,sylvaticus,(Nees) Kuntze,,,,,,,Synonym,Schoenus auritus (Nees) T.L.Elliott & Muasya,
Ericaceae,Thoracosperma,radicans,L.Guthrie,,,,,,,Synonym,Erica radicans (L.Guthrie) E.G.H.Oliv. subsp. radicans,Indigenous
Asteraceae,Senecio,reptans,Turcz.,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,tetracarpum,Lavis,,,,,,,Synonym,Conophytum flavum N.E.Br. subsp. flavum,Present
Amaranthaceae,Hermbstaedtia,odorata,(Burch.) T.Cooke,var.,aurantiaca,(Suess.) C.C.Towns.,,,,Accepted,,Indigenous
Cucurbitaceae,Lagenaria,sp.,,,,,,,,Genus level,,
Vitaceae,Cissus,rotundifolia,(Forssk.) Vahl,,,,,,,Inclusive,,Indigenous
Celastraceae,Cassine,maritima,(Bolus) F.Bolus & L.Bolus,,,,,,,Synonym,Robsonodendron maritimum (Bolus) R.H.Archer,Present
Proteaceae,Leucadendron,schinzianum,Schltr.,,,,,,,Synonym,Leucadendron nitidum H.Buek ex Meisn.,Indigenous
Restionaceae,Platycaulos,compressus,(Rottb.) H.P.Linder,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Zaluzianskya,nemesioides,Diels,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Pseudoselago,parvifolia,Hilliard,,,,,,,Accepted,,Indigenous; Endemic
Rubiaceae,Rytigynia,celastroides,(Baill.) Verdc.,var.,australis,Verdc.,,,,Accepted,,Indigenous
Exormothecaceae,Exormotheca,megastomata,Marquand,,,,,,,Synonym,Exormotheca holstii Steph.,Indigenous
Orchidaceae,Disa,atrorubens,Schltr.,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Freesia,flava,(N.E.Br.) N.E.Br.,,,,,,,Synonym,Freesia speciosa L.Bolus,Indigenous
Convolvulaceae,Convolvulus,sagittatus,Thunb.,var.,aschersonii,(Engl.) Verdc.,,,,Synonym,Convolvulus aschersonii Engl.,Present
Scrophulariaceae,Sutera,cinerea,Hilliard,,,,,,,Synonym,Chaenostoma cinereum (Hilliard) Kornhall,Indigenous; Endemic
Fabaceae,Indigofera,charlieriana,Schinz,subsp.,sessilis,(Chiov.) Schrire,var.,scaberrima,(Schinz) J.B.Gillett,Accepted,,Indigenous
Amaranthaceae,Salsola,contrariifolia,Botsch.,,,,,,,Accepted,,Indigenous
Asteraceae,Erigeron,kraussii,Sch.Bip.,,,,,,,Synonym,Nidorella auriculata DC.,Indigenous
Amaranthaceae,Cyathula,uncinulata,(Schrad.) Schinz,,,,,,,Accepted,,Indigenous
Fabaceae,Psoralea,vanberkelae,"C.H.Stirt., A.Bello & Muasya",,,,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Brunsvigia,namaquana,D.Mull.-Doblies & U.Mull.-Doblies,,,,,,,Accepted,,Indigenous
Asteraceae,Taraxacum,sp.,,,,,,,,Genus level,,
Iridaceae,Aristea,angolensis,Baker,,,,,,,Inclusive,,Indigenous
Poaceae,Avenastrum,dodii,Stapf,,,,,,,Synonym,Trisetopsis dodii (Stapf) Roser & A.Wolk,Indigenous
Crassulaceae,Tylecodon,leucothrix,(C.A.Sm.) Toelken,,,,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Brunsvigia,multiflora,W.T.Aiton,,,,,,,Synonym,Brunsvigia orientalis (L.) Aiton ex Eckl.,Indigenous
Fabaceae,Indigofera,porrecta,Eckl. & Zeyh.,,,,,,,Inclusive,,Indigenous
Ericaceae,Erica,perlata,Sinclair,,,,,,,Accepted,,Indigenous; Endemic
Campanulaceae,Lightfootia,divaricata,H.Buek,,,,,,,Synonym,Wahlenbergia thunbergii (Schult.) B.Nord. var. thunbergii,Indigenous
Fabaceae,Lablab,purpureus,(L.) Sweet,subsp.,purpureus,,,,,Accepted,,Not indigenous; Naturalised
Aizoaceae,Brownanthus,sp.,,,,,,,,Genus level,,
Thymelaeaceae,Gnidia,capitata,L.f.,,,,,,,Synonym,Lasiosiphon capitatus (L.f.) Burtt Davy,Indigenous
Fabaceae,Hoffmannseggia,pearsonii,E.Phillips,,,,,,,Synonym,Pomaria lactea (Schinz) B.B.Simpson & G.P.Lewis,
Asteraceae,Ursinia,punctata,(Thunb.) N.E.Br.,,,,,,,Accepted,,Indigenous; Endemic
Dicranaceae,Metzleria,sp.,,,,,,,,Genus level,,
Scrophulariaceae,Sutera,silenoides,Hilliard,,,,,,,Synonym,Jamesbrittenia silenoides (Hilliard) Hilliard,Present
Asparagaceae,Asparagus,crassicladus,Jessop,,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,glaucoleuca,Schltr.,,,,,,,Synonym,Lobelia setacea Thunb.,Indigenous
Hyacinthaceae,Lachenalia,tricolor,Thunb.,var.,aurea,(Lindl.) Hook.f.,,,,Synonym,Lachenalia flava Andrews,Indigenous
Aizoaceae,Conophytum,piluliforme,(N.E.Br.) N.E.Br.,subsp.,edwardii,(Schwantes) S.A.Hammer,,,,Accepted,,Indigenous; Endemic
Rubiaceae,Pavetta,krauseana,K.Krause,,,,,,,Synonym,Pavetta gardeniifolia A.Rich. var. gardeniifolia,Present
Fabaceae,Alysicarpus,rugosus,(Willd.) DC.,subsp.,perennirufus,J.Leonard,,,,Accepted,,Indigenous
Oxalidaceae,Oxalis,sororia,Schltr. ex R.Knuth,,,,,,,Synonym,Oxalis recticaulis Sond.,Indigenous
Apocynaceae,Asclepias,curassavica,L.,,,,,,,Accepted,,Not indigenous; Naturalised
Phyllanthaceae,Phyllanthus,reticulatus,Poir.,,,,,,,Inclusive,,Indigenous
Velloziaceae,Vellozia,talbotii,Balf.,,,,,,,Synonym,Xerophyta elegans (Balf.) Baker,
Asteraceae,Syncarpha,canescens,(L.) B.Nord.,,,,,,,Inclusive,,Indigenous
Fabaceae,Acacia,gillettiae,Burtt Davy,,,,,,,Synonym,Vachellia luederitzii (Engl.) Kyal. & Boatwr. var. retinens (Sim)  & Kyal. & Boatwr.,
Apocynaceae,Schizoglossum,stenoglossum,Schltr.,subsp.,latifolium,Kupicha,,,,Accepted,,Indigenous; Endemic
Iridaceae,Hesperantha,oligantha,(Diels) Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Amphithalea,ornata,Boatwr. & J.C.Manning,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,uysii,H.A.Baker,,,,,,,Accepted,,Indigenous; Endemic
Orobanchaceae,Melasma,scabrum,P.J.Bergius,var.,ovatum,(E.Mey. ex Benth.) Hiern,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,noctiflorum,L.,,,,,,,Inclusive,,Indigenous
Aizoaceae,Conophytum,velutinum,Schwantes,,,,,,,Inclusive,,Indigenous; Endemic
Fabaceae,Lebeckia,multiflora,E.Mey.,,,,,,,Synonym,Calobota angustifolia (E.Mey.) Boatwr. & B.-E.van Wyk,Indigenous
Apocynaceae,Larryleachia,dinteri,(A.Berger) Plowes,,,,,,,Synonym,Larryleachia marlothii (N.E.Br.) Plowes,Indigenous
Aizoaceae,Sceletium,crassicaule,(Haw.) L.Bolus,,,,,,,Synonym,Mesembryanthemum crassicaule Haw.,Indigenous; Endemic
Iridaceae,Tritonia,scillaris,,var.,stricta,(Eckl. ex Klatt) Baker,,,,Synonym,Ixia stricta (Eckl. ex Klatt) G.J.Lewis,Indigenous
Poaceae,Diheteropogon,amplectens,(Nees) Clayton,var.,amplectens,,,,,Accepted,,Indigenous
Cyperaceae,Schoenus,flexuosus,Thunb.,,,,,,,Synonym,Tetraria flexuosa (Thunb.) C.B.Clarke,Indigenous
Pottiaceae,Syntrichia,leucostega,(Mull.Hal.) R.H.Zander,var.,leucostega,,,,,Accepted,,Indigenous
Pteridaceae,Doryopteris,sp.,,,,,,,,Genus level,,
Apiaceae,Alepidea,serrata,Eckl. & Zeyh.,var.,serrata,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Pteronia,stoehelinoides,DC.,,,,,,,Accepted,,Indigenous; Endemic
Ebenaceae,Euclea,racemosa,L.,subsp.,bernardii,F.White,,,,Accepted,,Indigenous; Endemic
Asteraceae,Othonna,leptodactyla,Harv.,,,,,,,Accepted,,Indigenous; Endemic
Hyacinthaceae,Lachenalia,glaucophylla,W.F.Barker,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Oedera,calycina,(L.f.) N.G.Bergh,subsp.,lanceolata,"N.G.Bergh, J.Bentley & Verboom",,,,Synonym,Oedera calycina (L.f.) N.G.Bergh,Indigenous; Endemic
Restionaceae,Restio,versatilis,H.P.Linder,,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Wimmerella,arabidea,"(C.Presl) Serra, M.B.Crespo & Lammers",,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,lavendulacea,Klotzsch,,,,,,,Synonym,Lobelia erinus L.,
Amaryllidaceae,Gethyllis,grandiflora,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Restionaceae,Askidiosperma,delicatulum,H.P.Linder,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Gorteria,personata,L.,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Sutera,incisa,(Thunb.) Hiern,,,,,,,Synonym,Jamesbrittenia incisa (Thunb.) Hilliard,Present
Euphorbiaceae,Euphorbia,griseola,Pax,subsp.,griseola,,,,,Accepted,,Indigenous
Euphorbiaceae,Manihot,sp.,,,,,,,,Genus level,,
Aizoaceae,Aridaria,tetragona,(Thunb.) L.Bolus,,,,,,,Synonym,Mesembryanthemum tetragonum Thunb.,Indigenous
Fabaceae,Aspalathus,shawii,L.Bolus,subsp.,glabripetala,(R.Dahlgren) R.Dahlgren,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Lampranthus,arenarius,H.E.K.Hartmann,,,,,,,Synonym,Ruschiella lunulata (A.Berger) Klak,Indigenous; Endemic
Scapaniaceae,Lophozia,argentina,(Steph.) R.M.Schust.,,,,,,,Accepted,,Indigenous
Asteraceae,Marasmodes,defoliata,S.Ortiz,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Lablab,purpureus,(L.) Sweet,,,,,,,Inclusive,,Indigenous
Iridaceae,Homeria,schlechteri,L.Bolus,,,,,,,Synonym,Moraea schlechteri (L.Bolus) Goldblatt,Present
Aspleniaceae,Asplenium,varians,Wall. ex Hook. & Grev.,,,,,,,Inclusive,,Indigenous
Aizoaceae,Juttadinteria,attenuata,Walgate,,,,,,,Accepted,,Indigenous
Rubiaceae,Rondeletia,febrifuga,Afzel. ex G.Don,,,,,,,Synonym,Crossopteryx febrifuga (Afzel. ex G.Don) Benth.,Indigenous
Iridaceae,Lapeirousia,fabricii,(D.Delaroche) Ker Gawl.,subsp.,fabricii,,,,,Accepted,,Indigenous
Apocynaceae,Quaqua,incarnata,(L.f.) Bruyns,subsp.,hottentotorum,(N.E.Br.) Bruyns,,,,Accepted,,Indigenous
Poaceae,Eragrostis,brizantha,Nees,,,,,,,Accepted,,Indigenous
Euphorbiaceae,Euphorbia,caerulescens,Haw.,,,,,,,Accepted,,Indigenous; Endemic
Restionaceae,Restio,occultus,(Mast.) Pillans,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Gladiolus,oatesii,Rolfe,,,,,,,Accepted,,Indigenous
Asteraceae,Helichrysum,aureum,(Houtt.) Merr.,var.,candidum,Hilliard,,,,Accepted,,Indigenous
Polygonaceae,Rumex,lanceolatus,Thunb.,,,,,,,Accepted,,Indigenous
