NameId	NameFull	NameFormatted	NamePart	NameScientific	IsCurrent	CurrentNameId	CurrentName	CurrentNamePart	YearOf	TaxonRank	Occurrence	Origin	Phyla	Class	Order	Family	Genus
FDAAA708-FC8E-482C-A22D-3248E66E0A2A	Diphasium decurrens (R.Br.) Holub	<i>Diphasium decurrens</i> (R.Br.) Holub	Diphasium decurrens	<i>Diphasium decurrens</i> (R.Br.) Holub, <i>Folia Geobot. Phytotax.</i> 20: 78 (1985)	false	EB46BBEC-DEF4-427C-86E3-FC284B933043	Lycopodium scariosum G.Forst.	Lycopodium scariosum	1985	species			Tracheophyta	Lycopodiopsida	Lycopodiales	Lycopodiaceae	Lycopodium
3FF625E4-B94C-46CC-9341-ABD5B273A259	Diphasium scariosum (G.Forst.) Rothm.	<i>Diphasium scariosum</i> (G.Forst.) Rothm.	Diphasium scariosum	<i>Diphasium scariosum</i> (G.Forst.) Rothm., <i>Feddes Repert. Spec. Nov. Regni Veg.</i> 54: 65 (1944)	false	EB46BBEC-DEF4-427C-86E3-FC284B933043	Lycopodium scariosum G.Forst.	Lycopodium scariosum	1944	species			Tracheophyta	Lycopodiopsida	Lycopodiales	Lycopodiaceae	Lycopodium
B9D2A43E-8930-4ADA-911E-E479E6DCD950	Diplazium Sw.	<i>Diplazium</i> Sw.	Diplazium	<i>Diplazium</i> Sw., <i>J. Bot. (Schrader)</i> 1800(2): 61 (1801)	true	B9D2A43E-8930-4ADA-911E-E479E6DCD950	Diplazium Sw.	Diplazium	1801	genus	Wild	Non-endemic	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Diplazium
D1163595-077C-4C21-BA1F-C4E661EBAA45	Diplazium australe (R.Br.) N.A.Wakef.	<i>Diplazium australe</i> (R.Br.) N.A.Wakef.	Diplazium australe	<i>Diplazium australe</i> (R.Br.) N.A.Wakef., <i>Vict. Naturalist</i> 58: 142, f. 3 (1942)	true	D1163595-077C-4C21-BA1F-C4E661EBAA45	Diplazium australe (R.Br.) N.A.Wakef.	Diplazium australe	1942	species	Wild	Non-endemic	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Diplazium
CC9B0D96-AFBD-4917-BD40-59D73E2C795B	Diplazium congruum Brack.	<i>Diplazium congruum</i> Brack.	Diplazium congruum	<i>Diplazium congruum</i> Brack., <i>U.S. Expl. Exped., Filic. 16,</i> 141, t. 18, f. 2 (1854)	false	D9ACF521-CAFB-4D36-9350-BA9501017FCF	Deparia petersenii subsp. congrua (Brack.) M.Kato	Deparia petersenii subsp. congrua	1854	species			Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Deparia
F1CF2295-6FAE-4251-875F-FBB5EE7A094C	Diplazium esculentum (Retz.) Sw.	<i>Diplazium esculentum</i> (Retz.) Sw.	Diplazium esculentum	<i>Diplazium esculentum</i> (Retz.) Sw., <i>J. Bot. (Schrader)</i> 1801(2): 312 (1803)	true	F1CF2295-6FAE-4251-875F-FBB5EE7A094C	Diplazium esculentum (Retz.) Sw.	Diplazium esculentum	1803	species	Sometimes present	Exotic	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Diplazium
F5A94C44-8A2F-41CF-866F-62EF034CCC0B	Diplazium nipponicum Tagawa	<i>Diplazium nipponicum</i> Tagawa	Diplazium nipponicum	<i>Diplazium nipponicum</i> Tagawa, <i>Acta Phytotax. Geobot.</i> 2: 197 (1933)	true	F5A94C44-8A2F-41CF-866F-62EF034CCC0B	Diplazium nipponicum Tagawa	Diplazium nipponicum	1933	species	Sometimes present	Exotic	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Diplazium
DC69D163-FDF0-401C-9DB7-6F78787DD9B9	Diplazium petersenii (Kunze) Christ	<i>Diplazium petersenii</i> (Kunze) Christ	Diplazium petersenii	<i>Diplazium petersenii</i> (Kunze) Christ, <i>Bull. Acad. Int. G?ogr. Bot.</i> 1902: 245 (1902)	false	0B475B12-4781-4584-9401-6A608BCE9526	Deparia petersenii (Kunze) M.Kato	Deparia petersenii	1902	species			Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Deparia
60C44B65-9D58-4564-938A-5C24EF80125E	Diploblechnum Hayata	<i>Diploblechnum</i> Hayata	Diploblechnum	<i>Diploblechnum</i> Hayata, <i>Bot. Mag. (Tokyo)</i> 41: 702 (1927)	false	E1B8D9F3-8DD0-48A7-A45B-64C1D6F169E8	Blechnum L.	Blechnum	1927	genus			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
9814318E-7ACF-4E8D-A7DE-E5C70BC19B42	Diploblechnum fraseri (A.Cunn.) De Vol	<i>Diploblechnum fraseri</i> (A.Cunn.) De Vol	Diploblechnum fraseri	<i>Diploblechnum fraseri</i> (A.Cunn.) De Vol (1975)	false	79A46F1C-A587-45EB-B72D-1C59F35ADC2D	Blechnum fraseri (A.Cunn.) Luerss.	Blechnum fraseri	1975	species			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
